heure,jour,mois,annee,Tout,Tin,G,alpha_presence_predit,PV,Pfixe_predit,Pflex_predit,Cbuy_predit,Csell_predit
0,9,3,2026,12.5,19.767,0.0,0.0487,0.0,0.1,0.003,0.1696,0.1018
1,9,3,2026,11.6,19.656,0.0,0.0317,0.0,0.1,0.086,0.1696,0.1018
2,9,3,2026,11.0,19.833,0.0,0.043,0.0,0.1,0.003,0.1696,0.1018
3,9,3,2026,10.5,19.836,0.0,0.0668,0.0,0.1,0.003,0.1696,0.1018
4,9,3,2026,9.8,19.977,0.0,0.0346,0.0,0.1,0.087,0.2146,0.1288
5,9,3,2026,9.6,20.188,0.0,0.122,0.0,0.1,0.598,0.2146,0.1288
6,9,3,2026,9.1,20.885,0.0,0.562,0.0,0.1,1.144,0.2146,0.1288
7,9,3,2026,9.2,20.562,0.0,0.7372,0.0,0.1,1.908,0.2146,0.1288
8,9,3,2026,8.9,20.872,16.0,0.8217,0.096,0.81,1.734,0.2146,0.1288
9,9,3,2026,9.3,21.133,131.0,0.8012,0.793,0.747,1.581,0.2146,0.1288
10,9,3,2026,11.4,21.804,283.8,0.5502,1.695,0.65,1.057,0.2146,0.1288
11,9,3,2026,13.3,22.201,423.0,0.405,2.545,1.687,1.042,0.2146,0.1288
12,9,3,2026,15.2,22.097,525.8,0.1731,3.151,1.352,0.794,0.2146,0.1288
13,9,3,2026,16.9,22.046,581.2,0.1266,3.503,1.404,0.729,0.2146,0.1288
14,9,3,2026,17.5,22.094,512.2,0.1864,3.07,1.395,0.6,0.2146,0.1288
15,9,3,2026,17.6,22.418,337.8,0.3061,2.033,0.13,1.147,0.2146,0.1288
16,9,3,2026,18.0,22.312,321.8,0.4664,1.92,1.551,1.059,0.2146,0.1288
17,9,3,2026,17.8,22.055,177.8,0.6484,1.074,1.626,1.04,0.2146,0.1288
18,9,3,2026,17.4,21.484,98.0,0.7619,0.589,1.901,1.543,0.2146,0.1288
19,9,3,2026,16.6,21.395,16.0,0.8161,0.096,2.074,1.586,0.1696,0.1018
20,9,3,2026,16.0,21.029,0.0,0.7981,0.0,2.076,1.586,0.1696,0.1018
21,9,3,2026,15.6,20.718,0.0,0.6189,0.0,0.506,1.154,0.1696,0.1018
22,9,3,2026,14.5,20.568,0.0,0.4068,0.0,0.86,1.355,0.1696,0.1018
23,9,3,2026,14.4,20.137,0.0,0.2545,0.0,3.274,0.297,0.1696,0.1018
