heure,jour,mois,annee,Tout,Tin,G,alpha_presence_predit,PV,Pfixe_predit,Pflex_predit,Cbuy_predit,Csell_predit
0,11,3,2026,11.9,19.767,0.0,0.0487,0.0,0.1,0.003,0.1696,0.1018
1,11,3,2026,11.7,19.656,0.0,0.0317,0.0,0.1,0.086,0.1696,0.1018
2,11,3,2026,11.5,19.833,0.0,0.043,0.0,0.1,0.003,0.1696,0.1018
3,11,3,2026,11.1,19.836,0.0,0.0668,0.0,0.1,0.003,0.2146,0.1288
4,11,3,2026,11.2,19.977,0.0,0.0346,0.0,0.1,0.087,0.2146,0.1288
5,11,3,2026,11.1,20.188,0.0,0.122,0.0,0.1,0.603,0.2146,0.1288
6,11,3,2026,10.9,20.885,0.0,0.562,0.0,0.1,1.143,0.2146,0.1288
7,11,3,2026,10.7,20.562,0.0,0.7372,0.0,0.1,1.904,0.2146,0.1288
8,11,3,2026,10.5,20.872,3.2,0.8217,0.019,0.552,1.72,0.2146,0.1288
9,11,3,2026,10.5,21.133,12.5,0.8012,0.075,0.341,1.582,0.2146,0.1288
10,11,3,2026,10.5,21.804,27.5,0.5502,0.165,2.115,1.048,0.2146,0.1288
11,11,3,2026,11.0,22.201,43.5,0.405,0.261,2.435,1.042,0.2146,0.1288
12,11,3,2026,11.3,22.097,45.2,0.1731,0.271,1.049,0.877,0.2146,0.1288
13,11,3,2026,12.3,22.046,141.8,0.1266,0.851,1.098,0.75,0.2146,0.1288
14,11,3,2026,13.3,22.094,284.2,0.1864,1.698,1.123,0.686,0.2146,0.1288
15,11,3,2026,13.1,22.418,167.2,0.3061,1.008,0.146,1.144,0.2146,0.1288
16,11,3,2026,13.8,22.312,232.8,0.4664,1.397,1.499,1.047,0.2146,0.1288
17,11,3,2026,13.8,22.055,285.0,0.6484,1.697,1.567,1.024,0.2146,0.1288
18,11,3,2026,13.1,21.484,120.8,0.7619,0.726,1.616,1.584,0.1696,0.1018
19,11,3,2026,11.7,21.395,23.2,0.8161,0.139,1.614,1.584,0.1696,0.1018
20,11,3,2026,10.8,21.029,0.0,0.7981,0.0,1.606,1.584,0.1696,0.1018
21,11,3,2026,10.0,20.718,0.0,0.6189,0.0,0.173,1.136,0.1696,0.1018
22,11,3,2026,9.2,20.568,0.0,0.4068,0.0,0.271,1.348,0.1696,0.1018
23,11,3,2026,8.5,20.137,0.0,0.2545,0.0,2.331,0.302,0.1696,0.1018
