heure,jour,mois,annee,tfrigo,Tmin,Tmax,Tout_reel,Tin_reel,G,alpha_presence_reel,PV_reel,Pfixe,Pflex_reel,Pin,Pgo,Ebat,S,Cbuy_reel,Csell_reel
0,13,3,2026,4.0,20.0,25.0,10.571,19.04,21.904,0.1095,0.136,0.1,0.713,0.0,0.0,5.287,0,0.1674,0.1032
1,13,3,2026,4.0,20.0,25.0,10.475,19.749,0.0,0.0386,0.0,0.1,0.086,0.0,0.0,5.091,0,0.1458,0.086
2,13,3,2026,4.0,20.0,25.0,9.39,20.177,0.0,0.1578,0.0,0.1,0.508,0.0,0.0,4.451,0,0.1601,0.1002
3,13,3,2026,4.0,20.0,25.0,9.364,19.861,22.42,0.0401,0.213,0.1,0.003,0.0,0.0,4.555,0,0.1756,0.1087
4,13,3,2026,4.0,20.0,25.0,9.006,19.98,0.0,0.0,0.0,0.1,0.088,0.0,0.0,4.357,0,0.1951,0.1093
5,13,3,2026,4.0,20.0,25.0,11.38,19.47,11.761,0.1916,0.0,0.1,0.39,0.0,0.0,3.841,0,0.2377,0.1429
6,13,3,2026,4.0,20.0,25.0,10.812,21.079,0.0,0.3402,0.105,0.209,0.499,0.0,0.0,3.207,0,0.2266,0.129
7,13,3,2026,4.0,20.0,25.0,11.144,20.701,0.0,0.6991,0.099,0.1,1.286,0.0,0.0,1.851,0,0.2025,0.1192
8,13,3,2026,4.0,20.0,25.0,10.751,20.462,36.024,1.0,0.17,0.799,1.981,0.852,0.0,0.0,0,0.2212,0.1329
9,13,3,2026,4.0,20.0,25.0,12.359,21.803,0.0,0.8033,0.0,0.575,1.58,2.155,0.0,0.0,1,0.2196,0.1403
10,13,3,2026,4.0,20.0,25.0,12.26,21.376,49.954,0.5788,0.428,0.722,1.006,1.3,0.0,0.0,0,0.2126,0.117
11,13,3,2026,4.0,20.0,25.0,12.415,21.613,81.544,0.3289,0.434,2.052,0.994,2.612,0.0,0.0,1,0.2199,0.1302
12,13,3,2026,4.0,20.0,25.0,10.611,21.463,130.831,0.1712,0.769,1.369,0.501,1.102,0.0,0.0,0,0.2114,0.1302
13,13,3,2026,4.0,20.0,25.0,9.15,22.055,32.813,0.1152,0.377,1.44,0.729,1.792,0.0,0.0,0,0.2138,0.1316
14,13,3,2026,4.0,20.0,25.0,8.041,22.212,72.488,0.3351,0.454,1.519,0.459,1.524,0.0,0.0,0,0.2196,0.136
15,13,3,2026,4.0,20.0,25.0,8.519,22.572,109.489,0.2253,0.607,0.1,1.148,0.641,0.0,0.0,0,0.2189,0.1264
16,13,3,2026,4.0,20.0,25.0,7.769,22.194,78.83,0.2455,0.275,1.677,0.542,1.944,0.0,0.0,1,0.2175,0.1299
17,13,3,2026,4.0,20.0,25.0,8.61,21.771,74.896,0.6809,0.453,1.807,1.038,2.391,0.0,0.0,1,0.2177,0.1283
18,13,3,2026,4.0,20.0,25.0,7.848,21.779,33.388,0.8859,0.192,1.999,1.389,3.196,0.0,0.0,1,0.224,0.1409
19,13,3,2026,4.0,20.0,25.0,7.152,21.081,5.07,0.761,0.0,2.254,1.589,3.844,0.0,0.0,1,0.1772,0.1056
20,13,3,2026,4.0,20.0,25.0,8.276,20.606,35.992,0.6522,0.309,2.209,1.41,3.311,0.0,0.0,1,0.1575,0.0946
21,13,3,2026,4.0,20.0,25.0,6.692,21.208,73.362,0.5331,0.311,0.569,1.201,1.459,0.0,0.0,0,0.1619,0.0981
22,13,3,2026,4.0,20.0,25.0,5.902,20.63,0.0,0.4415,0.0,0.593,1.013,1.607,0.0,0.0,0,0.1841,0.1039
23,13,3,2026,4.0,20.0,25.0,7.156,20.302,0.0,0.2095,0.0,3.297,0.295,3.592,0.0,0.0,1,0.1851,0.1137
