heure,jour,mois,annee,Tout,Tin,G,alpha_presence_predit,PV,Pfixe_predit,Pflex_predit,Cbuy_predit,Csell_predit
0,7,3,2026,13.5,19.767,0.0,0.0487,0.0,0.513,0.003,0.2146,0.1288
1,7,3,2026,13.0,19.656,0.0,0.0317,0.0,0.445,0.086,0.2146,0.1288
2,7,3,2026,12.7,19.833,0.0,0.043,0.0,0.451,0.003,0.2146,0.1288
3,7,3,2026,12.3,19.836,0.0,0.0668,0.0,0.456,0.003,0.2146,0.1288
4,7,3,2026,11.7,19.977,0.0,0.0346,0.0,0.498,0.087,0.2146,0.1288
5,7,3,2026,11.2,20.188,0.0,0.122,0.0,0.502,0.599,0.2146,0.1288
6,7,3,2026,11.0,20.885,0.0,0.562,0.0,0.461,1.124,0.2146,0.1288
7,7,3,2026,10.8,20.562,0.0,0.7372,0.0,0.409,1.922,0.2146,0.1288
8,7,3,2026,10.5,20.872,10.0,0.8217,0.0,0.938,1.77,0.2146,0.1288
9,7,3,2026,10.8,21.133,98.8,0.8012,0.001,1.002,1.583,0.2146,0.1288
10,7,3,2026,11.6,21.804,238.8,0.5502,0.001,1.149,1.055,0.2146,0.1288
11,7,3,2026,12.7,22.201,334.0,0.405,0.002,1.211,1.041,0.2146,0.1288
12,7,3,2026,14.3,22.097,451.8,0.1731,0.003,1.014,0.831,0.2146,0.1288
13,7,3,2026,15.9,22.046,557.8,0.1266,0.003,1.03,0.729,0.1696,0.1018
14,7,3,2026,17.2,22.094,545.0,0.1864,0.003,1.051,0.596,0.1696,0.1018
15,7,3,2026,18.1,22.418,510.5,0.3061,0.003,0.442,1.146,0.1696,0.1018
16,7,3,2026,18.2,22.312,412.2,0.4664,0.002,1.152,1.057,0.1696,0.1018
17,7,3,2026,18.1,22.055,270.0,0.6484,0.002,1.151,1.038,0.1696,0.1018
18,7,3,2026,17.1,21.484,124.2,0.7619,0.001,1.191,1.585,0.1696,0.1018
19,7,3,2026,15.4,21.395,15.5,0.8161,0.0,1.055,1.586,0.1696,0.1018
20,7,3,2026,13.7,21.029,0.0,0.7981,0.0,1.017,1.586,0.1696,0.1018
21,7,3,2026,12.3,20.718,0.0,0.6189,0.0,0.785,1.129,0.1696,0.1018
22,7,3,2026,11.3,20.568,0.0,0.4068,0.0,0.851,1.348,0.2146,0.1288
23,7,3,2026,10.4,20.137,0.0,0.2545,0.0,1.374,0.303,0.2146,0.1288
