heure,jour,mois,annee,Tout,Tin,G,alpha_presence_predit,PV,Pfixe_predit,Pflex_predit,Cbuy_predit,Csell_predit
0,13,3,2026,10.4,19.767,0.0,0.0487,0.0,0.1,0.003,0.1696,0.1018
1,13,3,2026,10.0,19.656,0.0,0.0317,0.0,0.1,0.086,0.1696,0.1018
2,13,3,2026,9.8,19.833,0.0,0.043,0.0,0.1,0.003,0.1696,0.1018
3,13,3,2026,10.0,19.836,0.0,0.0668,0.0,0.1,0.003,0.1696,0.1018
4,13,3,2026,10.4,19.977,0.0,0.0346,0.0,0.1,0.087,0.2146,0.1288
5,13,3,2026,10.7,20.188,0.0,0.122,0.0,0.1,0.601,0.2146,0.1288
6,13,3,2026,10.8,20.885,0.0,0.562,0.0,0.1,1.137,0.2146,0.1288
7,13,3,2026,11.0,20.562,0.0,0.7372,0.0,0.1,1.912,0.2146,0.1288
8,13,3,2026,11.3,20.872,2.2,0.8217,0.013,0.761,1.744,0.2146,0.1288
9,13,3,2026,11.5,21.133,16.0,0.8012,0.096,0.657,1.583,0.2146,0.1288
10,13,3,2026,11.6,21.804,41.8,0.5502,0.254,0.677,1.059,0.2146,0.1288
11,13,3,2026,12.5,22.201,79.2,0.405,0.484,1.826,1.046,0.2146,0.1288
12,13,3,2026,11.0,22.097,86.5,0.1731,0.52,1.389,0.827,0.2146,0.1288
13,13,3,2026,9.4,22.046,72.0,0.1266,0.441,1.428,0.729,0.2146,0.1288
14,13,3,2026,8.6,22.094,91.5,0.1864,0.557,1.43,0.596,0.2146,0.1288
15,13,3,2026,8.5,22.418,113.0,0.3061,0.68,0.162,1.145,0.2146,0.1288
16,13,3,2026,8.2,22.312,72.5,0.4664,0.442,1.609,1.052,0.2146,0.1288
17,13,3,2026,8.2,22.055,44.5,0.6484,0.266,1.72,1.026,0.2146,0.1288
18,13,3,2026,8.1,21.484,22.5,0.7619,0.135,2.026,1.588,0.2146,0.1288
19,13,3,2026,7.4,21.395,4.2,0.8161,0.026,2.187,1.588,0.1696,0.1018
20,13,3,2026,7.2,21.029,0.0,0.7981,0.0,2.205,1.588,0.1696,0.1018
21,13,3,2026,7.2,20.718,0.0,0.6189,0.0,0.672,1.132,0.1696,0.1018
22,13,3,2026,7.0,20.568,0.0,0.4068,0.0,0.762,1.348,0.1696,0.1018
23,13,3,2026,6.9,20.137,0.0,0.2545,0.0,3.19,0.305,0.1696,0.1018
