heure,jour,mois,annee,tfrigo,Tmin,Tmax,Tout_reel,Tin_reel,G,alpha_presence_reel,PV_reel,Pfixe,Pflex_reel,Pin,Pgo,Ebat,S,Cbuy_reel,Csell_reel
0,9,3,2026,4.0,20.0,25.0,12.671,19.04,21.904,0.1095,0.136,0.1,0.713,0.0,0.0,5.287,0,0.1674,0.1032
1,9,3,2026,4.0,20.0,25.0,12.075,19.749,0.0,0.0386,0.0,0.1,0.086,0.0,0.0,5.091,0,0.1458,0.086
2,9,3,2026,4.0,20.0,25.0,10.59,20.177,0.0,0.1578,0.0,0.1,0.508,0.0,0.0,4.451,0,0.1601,0.1002
3,9,3,2026,4.0,20.0,25.0,9.864,19.861,22.42,0.0401,0.213,0.1,0.003,0.0,0.0,4.555,0,0.1756,0.1087
4,9,3,2026,4.0,20.0,25.0,8.406,19.98,0.0,0.0,0.0,0.1,0.088,0.0,0.0,4.357,0,0.1951,0.1093
5,9,3,2026,4.0,20.0,25.0,10.28,19.47,11.761,0.1916,0.0,0.1,0.39,0.0,0.0,3.841,0,0.2377,0.1429
6,9,3,2026,4.0,20.0,25.0,9.112,21.079,0.0,0.3402,0.105,0.209,0.499,0.0,0.0,3.207,0,0.2266,0.129
7,9,3,2026,4.0,20.0,25.0,9.344,20.701,0.0,0.6991,0.099,0.1,1.286,0.0,0.0,1.851,0,0.2025,0.1192
8,9,3,2026,4.0,20.0,25.0,8.351,20.462,49.824,1.0,0.252,0.848,1.981,0.818,0.0,0.0,0,0.2212,0.1329
9,9,3,2026,4.0,20.0,25.0,10.159,21.803,85.872,0.8033,0.441,0.665,1.58,1.804,0.0,0.0,1,0.2196,0.1403
10,9,3,2026,4.0,20.0,25.0,12.06,21.376,291.954,0.5788,1.88,0.695,1.006,0.0,0.0,0.17,0,0.2126,0.117
11,9,3,2026,4.0,20.0,25.0,13.215,21.613,425.344,0.3289,2.497,1.913,0.994,0.249,0.0,0.0,0,0.2199,0.1302
12,9,3,2026,4.0,20.0,25.0,14.811,21.463,570.131,0.1712,3.404,1.332,0.501,0.0,0.0,1.492,0,0.2114,0.1302
13,9,3,2026,4.0,20.0,25.0,16.65,22.055,542.013,0.1152,3.432,1.416,0.729,0.0,0.0,2.715,0,0.2138,0.1316
14,9,3,2026,4.0,20.0,25.0,16.941,22.212,493.188,0.3351,2.978,1.484,0.459,0.0,0.0,3.698,0,0.2196,0.136
15,9,3,2026,4.0,20.0,25.0,17.619,22.572,334.289,0.2253,1.956,0.1,1.148,0.0,0.0,4.37,0,0.2189,0.1264
16,9,3,2026,4.0,20.0,25.0,17.569,22.194,328.13,0.2455,1.771,1.619,0.542,0.0,0.0,3.96,0,0.2175,0.1299
17,9,3,2026,4.0,20.0,25.0,18.21,21.771,208.196,0.6809,1.253,1.713,1.038,0.0,0.0,2.383,0,0.2177,0.1283
18,9,3,2026,4.0,20.0,25.0,17.148,21.779,108.888,0.8859,0.645,1.874,1.389,0.354,0.0,0.0,0,0.224,0.1409
19,9,3,2026,4.0,20.0,25.0,16.352,21.081,16.87,0.761,0.039,2.141,1.589,3.692,0.0,0.0,1,0.1772,0.1056
20,9,3,2026,4.0,20.0,25.0,17.076,20.606,35.992,0.6522,0.309,2.08,1.41,3.182,0.0,0.0,1,0.1575,0.0946
21,9,3,2026,4.0,20.0,25.0,15.092,21.208,73.362,0.5331,0.311,0.403,1.201,1.293,0.0,0.0,0,0.1619,0.0981
22,9,3,2026,4.0,20.0,25.0,13.402,20.63,0.0,0.4415,0.0,0.691,1.013,1.705,0.0,0.0,0,0.1841,0.1039
23,9,3,2026,4.0,20.0,25.0,14.656,20.302,0.0,0.2095,0.0,3.381,0.295,3.676,0.0,0.0,1,0.1851,0.1137
