heure,jour,mois,annee,Tout,Tin,G,alpha_presence_predit,PV,Pfixe_predit,Pflex_predit,Cbuy_predit,Csell_predit
0,22,3,2026,9.2,19.767,0.0,0.0487,0.0,1.363,0.323,0.2146,0.1288
1,22,3,2026,8.5,19.656,0.0,0.0317,0.0,1.386,0.298,0.2146,0.1288
2,22,3,2026,8.0,19.833,0.0,0.043,0.0,1.4,0.315,0.2146,0.1288
3,22,3,2026,7.3,19.836,0.0,0.0668,0.0,1.421,0.35,0.2146,0.1288
4,22,3,2026,6.8,19.977,0.0,0.0346,0.0,1.436,0.302,0.2146,0.1288
5,22,3,2026,6.3,20.188,0.0,0.122,0.0,1.271,0.434,0.2146,0.1288
6,22,3,2026,6.1,20.885,0.0,0.562,0.0,1.277,1.093,0.2146,0.1288
7,22,3,2026,5.6,20.562,0.2,0.7372,0.001,1.292,1.356,0.2146,0.1288
8,22,3,2026,5.7,20.872,58.5,0.8217,0.188,1.289,1.483,0.2146,0.1288
9,22,3,2026,6.6,21.133,177.8,0.8012,0.561,1.262,1.452,0.2146,0.1288
10,22,3,2026,9.2,21.804,328.2,0.5502,1.006,1.184,1.075,0.2146,0.1288
11,22,3,2026,11.3,22.201,526.0,0.405,1.561,1.121,0.858,0.2146,0.1288
12,22,3,2026,13.2,22.097,627.5,0.1731,1.824,1.064,0.51,0.2146,0.1288
13,22,3,2026,14.3,22.046,584.8,0.1266,1.701,1.031,0.44,0.2146,0.1288
14,22,3,2026,15.3,22.094,550.0,0.1864,1.601,1.001,0.529,0.1696,0.1018
15,22,3,2026,15.3,22.418,469.8,0.3061,1.381,1.001,0.709,0.1696,0.1018
16,22,3,2026,15.5,22.312,434.8,0.4664,1.283,0.995,0.95,0.1696,0.1018
17,22,3,2026,15.6,22.055,342.0,0.6484,1.021,0.992,1.222,0.1696,0.1018
18,22,3,2026,15.3,21.484,179.2,0.7619,0.546,1.001,1.393,0.1696,0.1018
19,22,3,2026,13.9,21.395,46.0,0.8161,0.143,1.043,1.474,0.1696,0.1018
20,22,3,2026,13.0,21.029,0.0,0.7981,0.0,1.07,1.447,0.1696,0.1018
21,22,3,2026,11.9,20.718,0.0,0.6189,0.0,1.103,1.178,0.1696,0.1018
22,22,3,2026,11.1,20.568,0.0,0.4068,0.0,1.127,0.86,0.1696,0.1018
23,22,3,2026,10.6,20.137,0.0,0.2545,0.0,1.142,0.632,0.2146,0.1288
