heure,jour,mois,annee,Tout,Tin,G,alpha_presence_predit,PV,Pfixe_predit,Pflex_predit,Cbuy_predit,Csell_predit
0,5,3,2026,10.9,19.767,0.0,0.0487,0.0,0.746,0.035,0.2146,0.1288
1,5,3,2026,10.7,19.656,0.0,0.0317,0.0,0.701,0.086,0.2146,0.1288
2,5,3,2026,9.9,19.833,0.0,0.043,0.0,0.717,0.01,0.2146,0.1288
3,5,3,2026,9.3,19.836,0.0,0.0668,0.0,0.793,0.368,0.2146,0.1288
4,5,3,2026,9.0,19.977,0.0,0.0346,0.0,0.838,0.087,0.2146,0.1288
5,5,3,2026,8.6,20.188,0.0,0.122,0.0,0.871,0.601,0.2146,0.1288
6,5,3,2026,8.3,20.885,0.0,0.562,0.0,0.739,1.152,0.2146,0.1288
7,5,3,2026,8.0,20.562,0.0,0.7372,0.0,0.731,1.806,0.2146,0.1288
8,5,3,2026,7.7,20.872,9.2,0.8217,0.029,0.862,1.723,0.2146,0.1288
9,5,3,2026,8.5,21.133,109.8,0.8012,0.347,1.037,1.586,0.2146,0.1288
10,5,3,2026,10.6,21.804,258.8,0.5502,0.796,1.161,1.049,0.2146,0.1288
11,5,3,2026,12.3,22.201,396.2,0.405,1.19,1.232,0.965,0.2146,0.1288
12,5,3,2026,14.4,22.097,497.2,0.1731,1.462,1.039,0.814,0.2146,0.1288
13,5,3,2026,16.4,22.046,553.0,0.1266,1.601,1.01,0.731,0.1696,0.1018
14,5,3,2026,18.0,22.094,546.5,0.1864,1.573,1.049,0.586,0.1696,0.1018
15,5,3,2026,18.9,22.418,457.8,0.3061,1.328,0.383,1.143,0.1696,0.1018
16,5,3,2026,19.0,22.312,296.8,0.4664,0.879,1.144,1.058,0.1696,0.1018
17,5,3,2026,19.1,22.055,257.8,0.6484,0.767,1.138,1.037,0.1696,0.1018
18,5,3,2026,18.4,21.484,124.5,0.7619,0.378,1.175,1.583,0.1696,0.1018
19,5,3,2026,17.1,21.395,13.2,0.8161,0.041,1.16,1.587,0.1696,0.1018
20,5,3,2026,16.0,21.029,0.0,0.7981,0.0,1.156,1.587,0.1696,0.1018
21,5,3,2026,14.9,20.718,0.0,0.6189,0.0,0.878,1.152,0.1696,0.1018
22,5,3,2026,14.0,20.568,0.0,0.4068,0.0,0.857,1.076,0.2146,0.1288
23,5,3,2026,13.3,20.137,0.0,0.2545,0.0,1.37,0.308,0.2146,0.1288
