heure,jour,mois,annee,tfrigo,Tmin,Tmax,Tout_reel,Tin_reel,G,alpha_presence_reel,PV_reel,Pfixe,Pflex_reel,Pin,Pgo,Ebat,S,Cbuy_reel,Csell_reel
0,23,3,2026,4.0,20.0,25.0,9.871,19.04,21.904,0.1095,0.136,0.1,0.713,0.0,0.0,5.287,0,0.2124,0.1302
1,23,3,2026,4.0,20.0,25.0,9.675,19.749,0.0,0.0386,0.0,0.1,0.086,0.0,0.0,5.091,0,0.1908,0.113
2,23,3,2026,4.0,20.0,25.0,8.19,20.177,0.0,0.1578,0.0,0.1,0.508,0.0,0.0,4.451,0,0.2051,0.1272
3,23,3,2026,4.0,20.0,25.0,7.164,19.861,22.42,0.0401,0.213,0.1,0.003,0.0,0.0,4.555,0,0.2206,0.1357
4,23,3,2026,4.0,20.0,25.0,6.006,19.98,0.0,0.0,0.0,0.1,0.088,0.0,0.0,4.357,0,0.1951,0.1093
5,23,3,2026,4.0,20.0,25.0,7.78,19.47,11.761,0.1916,0.0,0.1,0.39,0.0,0.0,3.841,0,0.2377,0.1429
6,23,3,2026,4.0,20.0,25.0,6.812,21.079,0.0,0.3402,0.105,0.212,0.499,0.0,0.0,3.204,0,0.2266,0.129
7,23,3,2026,4.0,20.0,25.0,6.644,20.701,0.0,0.6991,0.099,0.1,1.286,0.0,0.0,1.848,0,0.2025,0.1192
8,23,3,2026,4.0,20.0,25.0,6.451,20.462,96.824,1.0,0.534,0.805,1.981,0.496,0.0,0.0,0,0.2212,0.1329
9,23,3,2026,4.0,20.0,25.0,8.959,21.803,167.372,0.8033,0.93,0.512,1.58,1.162,0.0,0.0,0,0.2196,0.1403
10,23,3,2026,4.0,20.0,25.0,10.76,21.376,394.354,0.5788,2.494,1.49,1.006,0.002,0.0,0.0,0,0.2126,0.117
11,23,3,2026,4.0,20.0,25.0,11.715,21.613,529.544,0.3289,3.122,1.893,0.994,0.0,0.0,0.223,0,0.1749,0.1032
12,23,3,2026,4.0,20.0,25.0,13.311,21.463,673.331,0.1712,4.024,0.986,0.501,0.0,0.0,2.632,0,0.1664,0.1032
13,23,3,2026,4.0,20.0,25.0,15.45,22.055,633.613,0.1152,3.982,1.07,0.729,0.0,0.0,4.706,0,0.1688,0.1046
14,23,3,2026,4.0,20.0,25.0,15.741,22.212,644.788,0.3351,3.887,1.164,0.459,0.0,0.0,6.857,0,0.1746,0.109
15,23,3,2026,4.0,20.0,25.0,16.819,22.572,576.289,0.2253,3.408,0.1,1.148,0.0,0.0,8.909,0,0.1739,0.0994
16,23,3,2026,4.0,20.0,25.0,16.469,22.194,487.13,0.2455,2.725,1.255,0.542,0.0,0.0,9.79,0,0.1725,0.1029
17,23,3,2026,4.0,20.0,25.0,17.11,21.771,386.896,0.6809,2.325,1.315,1.038,0.0,0.0,9.762,0,0.1727,0.1013
18,23,3,2026,4.0,20.0,25.0,16.148,21.779,208.388,0.8859,1.242,1.291,1.389,0.0,0.0,8.248,0,0.179,0.1139
19,23,3,2026,4.0,20.0,25.0,15.452,21.081,56.67,0.761,0.278,1.387,1.589,0.0,0.0,5.407,0,0.1772,0.1056
20,23,3,2026,4.0,20.0,25.0,15.876,20.606,35.992,0.6522,0.309,1.324,1.41,0.0,0.0,2.854,0,0.2025,0.1216
21,23,3,2026,4.0,20.0,25.0,13.392,21.208,73.362,0.5331,0.311,0.259,1.201,0.0,0.0,1.644,0,0.2069,0.1251
22,23,3,2026,4.0,20.0,25.0,11.902,20.63,0.0,0.4415,0.0,0.167,1.013,0.0,0.0,0.402,0,0.2291,0.1309
23,23,3,2026,4.0,20.0,25.0,12.756,20.302,0.0,0.2095,0.0,2.002,0.295,1.916,0.0,0.0,1,0.2301,0.1407
