heure,jour,mois,annee,Tout,Tin,G,alpha_presence_predit,PV,Pfixe_predit,Pflex_predit,Cbuy_predit,Csell_predit
0,2,3,2026,8.8,19.767,0.0,0.0487,0.0,1.148,0.048,0.2146,0.1288
1,2,3,2026,8.6,19.656,0.0,0.0317,0.0,1.046,0.085,0.2146,0.1288
2,2,3,2026,8.2,19.833,0.0,0.043,0.0,1.129,0.026,0.2146,0.1288
3,2,3,2026,7.8,19.836,0.0,0.0668,0.0,1.144,0.384,0.2146,0.1288
4,2,3,2026,7.7,19.977,0.0,0.0346,0.0,1.132,0.07,0.2146,0.1288
5,2,3,2026,7.2,20.188,0.0,0.122,0.0,1.179,0.61,0.2146,0.1288
6,2,3,2026,6.8,20.885,0.0,0.562,0.0,1.026,1.143,0.2146,0.1288
7,2,3,2026,7.0,20.562,0.0,0.7372,0.0,1.023,1.685,0.2146,0.1288
8,2,3,2026,6.6,20.872,5.2,0.8217,0.017,1.116,1.639,0.2146,0.1288
9,2,3,2026,7.1,21.133,95.5,0.8012,0.304,1.187,1.576,0.2146,0.1288
10,2,3,2026,9.1,21.804,220.5,0.5502,0.685,1.187,1.022,0.2146,0.1288
11,2,3,2026,10.8,22.201,375.8,0.405,1.138,1.186,0.981,0.2146,0.1288
12,2,3,2026,12.7,22.097,485.2,0.1731,1.439,1.09,0.729,0.2146,0.1288
13,2,3,2026,15.5,22.046,545.0,0.1266,1.586,1.047,0.732,0.1696,0.1018
14,2,3,2026,16.7,22.094,549.5,0.1864,1.59,1.039,0.62,0.1696,0.1018
15,2,3,2026,17.5,22.418,496.8,0.3061,1.443,0.811,1.113,0.1696,0.1018
16,2,3,2026,17.9,22.312,402.0,0.4664,1.18,1.064,1.052,0.1696,0.1018
17,2,3,2026,17.8,22.055,266.0,0.6484,0.794,1.059,1.035,0.1696,0.1018
18,2,3,2026,17.2,21.484,107.2,0.7619,0.327,1.056,1.52,0.1696,0.1018
19,2,3,2026,15.9,21.395,8.8,0.8161,0.027,1.075,1.523,0.1696,0.1018
20,2,3,2026,14.4,21.029,0.0,0.7981,0.0,1.11,1.572,0.1696,0.1018
21,2,3,2026,13.4,20.718,0.0,0.6189,0.0,1.065,1.212,0.1696,0.1018
22,2,3,2026,12.3,20.568,0.0,0.4068,0.0,1.078,1.006,0.2146,0.1288
23,2,3,2026,11.8,20.137,0.0,0.2545,0.0,1.181,0.319,0.2146,0.1288
