heure,jour,mois,annee,tfrigo,Tmin,Tmax,Tout_reel,Tin_reel,G,alpha_presence_reel,PV_reel,Pfixe,Pflex_reel,Pin,Pgo,Ebat,S,Cbuy_reel,Csell_reel
0,8,3,2026,4.0,20.0,25.0,9.871,19.04,21.904,0.1095,0.136,0.514,0.713,0.0,0.0,4.851,0,0.2124,0.1302
1,8,3,2026,4.0,20.0,25.0,9.575,19.749,0.0,0.0386,0.0,0.35,0.086,0.0,0.0,4.391,0,0.1908,0.113
2,8,3,2026,4.0,20.0,25.0,8.19,20.177,0.0,0.1578,0.0,0.389,0.508,0.0,0.0,3.447,0,0.2051,0.1272
3,8,3,2026,4.0,20.0,25.0,7.064,19.861,22.42,0.0401,0.213,0.482,0.003,0.0,0.0,3.161,0,0.2206,0.1357
4,8,3,2026,4.0,20.0,25.0,6.306,19.98,0.0,0.0,0.0,0.597,0.088,0.0,0.0,2.439,0,0.1951,0.1093
5,8,3,2026,4.0,20.0,25.0,8.18,19.47,11.761,0.1916,0.0,0.515,0.39,0.0,0.0,1.487,0,0.2377,0.1429
6,8,3,2026,4.0,20.0,25.0,7.812,21.079,0.0,0.3402,0.105,0.609,0.499,0.0,0.0,0.432,0,0.2266,0.129
7,8,3,2026,4.0,20.0,25.0,8.244,20.701,0.0,0.6991,0.099,0.1,1.286,0.877,0.0,0.0,0,0.2025,0.1192
8,8,3,2026,4.0,20.0,25.0,7.351,20.462,40.824,1.0,0.198,0.975,1.981,2.758,0.0,0.0,1,0.2212,0.1329
9,8,3,2026,4.0,20.0,25.0,8.459,21.803,0.0,0.8033,0.0,0.855,1.58,2.435,0.0,0.0,1,0.2196,0.1403
10,8,3,2026,4.0,20.0,25.0,8.96,21.376,113.654,0.5788,0.81,1.24,1.006,1.436,0.0,0.0,0,0.2126,0.117
11,8,3,2026,4.0,20.0,25.0,9.415,21.613,346.144,0.3289,2.022,1.497,0.994,0.469,0.0,0.0,0,0.2199,0.1302
12,8,3,2026,4.0,20.0,25.0,10.911,21.463,544.831,0.1712,3.253,1.001,0.501,0.0,0.0,1.662,0,0.2114,0.1302
13,8,3,2026,4.0,20.0,25.0,12.65,22.055,530.013,0.1152,3.36,1.018,0.729,0.0,0.0,3.195,0,0.1688,0.1046
14,8,3,2026,4.0,20.0,25.0,14.541,22.212,550.988,0.3351,3.325,1.15,0.459,0.0,0.0,4.825,0,0.1746,0.109
15,8,3,2026,4.0,20.0,25.0,16.519,22.572,520.689,0.2253,3.075,0.226,1.148,0.0,0.0,6.44,0,0.1739,0.0994
16,8,3,2026,4.0,20.0,25.0,17.269,22.194,434.33,0.2455,2.408,1.199,0.542,0.0,0.0,7.074,0,0.1725,0.1029
17,8,3,2026,4.0,20.0,25.0,18.41,21.771,323.396,0.6809,1.944,1.256,1.038,0.0,0.0,6.706,0,0.1727,0.1013
18,8,3,2026,4.0,20.0,25.0,17.548,21.779,150.388,0.8859,0.894,1.162,1.389,0.0,0.0,4.962,0,0.179,0.1139
19,8,3,2026,4.0,20.0,25.0,16.652,21.081,19.07,0.761,0.052,1.236,1.589,0.0,0.0,2.043,0,0.1772,0.1056
20,8,3,2026,4.0,20.0,25.0,17.176,20.606,35.992,0.6522,0.309,1.159,1.41,0.32,0.0,0.0,0,0.1575,0.0946
21,8,3,2026,4.0,20.0,25.0,14.492,21.208,73.362,0.5331,0.311,0.634,1.201,1.524,0.0,0.0,0,0.1619,0.0981
22,8,3,2026,4.0,20.0,25.0,11.902,20.63,0.0,0.4415,0.0,0.497,1.013,1.511,0.0,0.0,0,0.2291,0.1309
23,8,3,2026,4.0,20.0,25.0,12.756,20.302,0.0,0.2095,0.0,1.576,0.295,1.871,0.0,0.0,1,0.2301,0.1407
