heure,jour,mois,annee,Tout,Tin,G,alpha_presence_predit,PV,Pfixe_predit,Pflex_predit,Cbuy_predit,Csell_predit
0,1,3,2026,8.2,19.767,0.0,0.0487,0.0,0.333,0.003,0.1696,0.1018
1,1,3,2026,8.0,19.656,0.0,0.0317,0.0,0.282,0.086,0.1696,0.1018
2,1,3,2026,7.5,19.833,0.0,0.043,0.0,0.323,0.003,0.1696,0.1018
3,1,3,2026,7.3,19.836,0.0,0.0668,0.0,0.345,0.003,0.2146,0.1288
4,1,3,2026,6.6,19.977,0.0,0.0346,0.0,0.407,0.087,0.2146,0.1288
5,1,3,2026,6.3,20.188,0.0,0.122,0.0,0.37,0.601,0.2146,0.1288
6,1,3,2026,5.9,20.885,0.0,0.562,0.0,0.263,1.129,0.2146,0.1288
7,1,3,2026,5.2,20.562,0.0,0.7372,0.0,0.186,1.926,0.2146,0.1288
8,1,3,2026,5.0,20.872,3.5,0.8217,0.021,0.9,1.754,0.2146,0.1288
9,1,3,2026,5.1,21.133,38.8,0.8012,0.233,0.815,1.583,0.2146,0.1288
10,1,3,2026,6.9,21.804,65.8,0.5502,0.403,1.292,1.063,0.2146,0.1288
11,1,3,2026,8.7,22.201,283.8,0.405,1.691,1.49,1.047,0.2146,0.1288
12,1,3,2026,10.7,22.097,386.5,0.1731,2.32,1.005,0.835,0.2146,0.1288
13,1,3,2026,12.1,22.046,459.0,0.1266,2.825,1.036,0.729,0.2146,0.1288
14,1,3,2026,12.6,22.094,342.2,0.1864,2.054,1.056,0.601,0.2146,0.1288
15,1,3,2026,13.1,22.418,312.5,0.3061,1.898,0.104,1.145,0.2146,0.1288
16,1,3,2026,13.7,22.312,240.5,0.4664,1.443,1.152,1.057,0.2146,0.1288
17,1,3,2026,13.5,22.055,198.8,0.6484,1.192,1.185,1.038,0.2146,0.1288
18,1,3,2026,12.9,21.484,61.8,0.7619,0.37,1.243,1.586,0.1696,0.1018
19,1,3,2026,12.5,21.395,5.5,0.8161,0.033,1.245,1.586,0.1696,0.1018
20,1,3,2026,11.6,21.029,0.0,0.7981,0.0,1.234,1.586,0.1696,0.1018
21,1,3,2026,10.7,20.718,0.0,0.6189,0.0,0.257,1.137,0.1696,0.1018
22,1,3,2026,10.0,20.568,0.0,0.4068,0.0,0.173,1.348,0.1696,0.1018
23,1,3,2026,9.3,20.137,0.0,0.2545,0.0,1.716,0.301,0.1696,0.1018
