heure,jour,mois,annee,Tout,Tin,G,alpha_presence_predit,PV,Pfixe_predit,Pflex_predit,Cbuy_predit,Csell_predit
0,19,3,2026,10.6,19.767,0.0,0.0487,0.0,1.323,0.323,0.2146,0.1288
1,19,3,2026,10.2,19.656,0.0,0.0317,0.0,1.332,0.298,0.2146,0.1288
2,19,3,2026,9.5,19.833,0.0,0.043,0.0,1.356,0.315,0.2146,0.1288
3,19,3,2026,9.0,19.836,0.0,0.0668,0.0,1.371,0.35,0.2146,0.1288
4,19,3,2026,8.2,19.977,0.0,0.0346,0.0,1.394,0.302,0.2146,0.1288
5,19,3,2026,7.6,20.188,0.0,0.122,0.0,1.232,0.434,0.2146,0.1288
6,19,3,2026,7.1,20.885,0.0,0.562,0.0,1.247,1.093,0.2146,0.1288
7,19,3,2026,6.8,20.562,0.0,0.7372,0.0,1.256,1.356,0.2146,0.1288
8,19,3,2026,7.1,20.872,46.8,0.8217,0.28,1.247,1.483,0.2146,0.1288
9,19,3,2026,8.0,21.133,195.5,0.8012,1.173,1.221,1.452,0.2146,0.1288
10,19,3,2026,10.2,21.804,359.8,0.5502,2.159,1.154,1.075,0.2146,0.1288
11,19,3,2026,12.0,22.201,502.8,0.405,3.024,1.1,0.858,0.2146,0.1288
12,19,3,2026,13.7,22.097,606.5,0.1731,3.625,1.049,0.51,0.2146,0.1288
13,19,3,2026,15.6,22.046,660.8,0.1266,3.984,0.992,0.44,0.2146,0.1288
14,19,3,2026,16.6,22.094,657.0,0.1864,3.954,0.962,0.529,0.1696,0.1018
15,19,3,2026,17.6,22.418,603.8,0.3061,3.638,0.932,0.709,0.1696,0.1018
16,19,3,2026,18.3,22.312,504.2,0.4664,3.029,0.919,0.95,0.1696,0.1018
17,19,3,2026,18.1,22.055,364.0,0.6484,2.184,0.919,1.222,0.1696,0.1018
18,19,3,2026,17.5,21.484,197.5,0.7619,1.184,0.935,1.393,0.1696,0.1018
19,19,3,2026,16.6,21.395,44.2,0.8161,0.266,0.962,1.474,0.1696,0.1018
20,19,3,2026,15.6,21.029,0.0,0.7981,0.0,0.992,1.447,0.1696,0.1018
21,19,3,2026,13.8,20.718,0.0,0.6189,0.0,1.046,1.178,0.1696,0.1018
22,19,3,2026,12.7,20.568,0.0,0.4068,0.0,1.079,0.86,0.1696,0.1018
23,19,3,2026,11.8,20.137,0.0,0.2545,0.0,1.106,0.632,0.2146,0.1288
