heure,jour,mois,annee,Tout,Tin,G,alpha_presence_predit,PV,Pfixe_predit,Pflex_predit,Cbuy_predit,Csell_predit
0,20,3,2026,10.7,19.767,0.0,0.0487,0.0,1.321,0.323,0.1696,0.1018
1,20,3,2026,9.8,19.656,0.0,0.0317,0.0,1.347,0.298,0.1696,0.1018
2,20,3,2026,9.0,19.833,0.0,0.043,0.0,1.371,0.315,0.1696,0.1018
3,20,3,2026,8.1,19.836,0.0,0.0668,0.0,1.398,0.35,0.1696,0.1018
4,20,3,2026,7.2,19.977,0.0,0.0346,0.0,1.424,0.302,0.1696,0.1018
5,20,3,2026,6.8,20.188,0.0,0.122,0.0,1.256,0.434,0.1696,0.1018
6,20,3,2026,6.6,20.885,0.0,0.562,0.0,1.262,1.093,0.1696,0.1018
7,20,3,2026,6.1,20.562,0.0,0.7372,0.0,1.277,1.356,0.1696,0.1018
8,20,3,2026,6.4,20.872,51.0,0.8217,0.309,1.268,1.483,0.2146,0.1288
9,20,3,2026,7.7,21.133,202.2,0.8012,1.213,1.228,1.452,0.2146,0.1288
10,20,3,2026,9.6,21.804,368.8,0.5502,2.213,1.171,1.075,0.2146,0.1288
11,20,3,2026,11.6,22.201,500.8,0.405,2.989,1.112,0.858,0.2146,0.1288
12,20,3,2026,13.7,22.097,604.2,0.1731,3.621,1.049,0.51,0.2146,0.1288
13,20,3,2026,15.4,22.046,667.0,0.1266,3.986,0.998,0.44,0.2146,0.1288
14,20,3,2026,16.5,22.094,666.0,0.1864,3.992,0.965,0.53,0.2146,0.1288
15,20,3,2026,17.1,22.418,611.5,0.3061,3.642,0.947,0.709,0.2146,0.1288
16,20,3,2026,17.3,22.312,508.0,0.4664,3.042,0.941,0.95,0.2146,0.1288
17,20,3,2026,17.0,22.055,365.0,0.6484,2.191,0.95,1.222,0.2146,0.1288
18,20,3,2026,16.4,21.484,199.5,0.7619,1.193,0.968,1.393,0.2146,0.1288
19,20,3,2026,15.6,21.395,47.5,0.8161,0.285,0.992,1.474,0.2146,0.1288
20,20,3,2026,14.7,21.029,0.0,0.7981,0.0,1.019,1.447,0.2146,0.1288
21,20,3,2026,13.6,20.718,0.0,0.6189,0.0,1.052,1.178,0.2146,0.1288
22,20,3,2026,12.0,20.568,0.0,0.4068,0.0,1.1,0.86,0.2146,0.1288
23,20,3,2026,11.0,20.137,0.0,0.2545,0.0,1.13,0.632,0.1696,0.1018
