heure,jour,mois,annee,Tout,Tin,G,alpha_presence_predit,PV,Pfixe_predit,Pflex_predit,Cbuy_predit,Csell_predit
0,1,3,2026,8.2,19.767,0.0,0.0487,0.0,1.25,0.056,0.2146,0.1288
1,1,3,2026,8.0,19.656,0.0,0.0317,0.0,1.199,0.083,0.2146,0.1288
2,1,3,2026,7.5,19.833,0.0,0.043,0.0,1.24,0.029,0.2146,0.1288
3,1,3,2026,7.3,19.836,0.0,0.0668,0.0,1.245,0.371,0.2146,0.1288
4,1,3,2026,6.6,19.977,0.0,0.0346,0.0,1.296,0.052,0.2146,0.1288
5,1,3,2026,6.3,20.188,0.0,0.122,0.0,1.355,0.589,0.2146,0.1288
6,1,3,2026,5.9,20.885,0.0,0.562,0.0,1.129,1.174,0.2146,0.1288
7,1,3,2026,5.2,20.562,0.0,0.7372,0.0,1.154,1.753,0.2146,0.1288
8,1,3,2026,5.0,20.872,3.5,0.8217,0.011,1.183,1.676,0.2146,0.1288
9,1,3,2026,5.1,21.133,38.8,0.8012,0.125,1.21,1.621,0.2146,0.1288
10,1,3,2026,6.9,21.804,65.8,0.5502,0.21,1.179,1.065,0.2146,0.1288
11,1,3,2026,8.7,22.201,283.8,0.405,0.877,1.212,0.92,0.2146,0.1288
12,1,3,2026,10.7,22.097,386.5,0.1731,1.17,1.221,0.714,0.2146,0.1288
13,1,3,2026,12.1,22.046,459.0,0.1266,1.369,1.068,0.743,0.1696,0.1018
14,1,3,2026,12.6,22.094,342.2,0.1864,1.034,1.054,0.605,0.1696,0.1018
15,1,3,2026,13.1,22.418,312.5,0.3061,0.946,0.871,1.068,0.1696,0.1018
16,1,3,2026,13.7,22.312,240.5,0.4664,0.732,1.091,1.059,0.1696,0.1018
17,1,3,2026,13.5,22.055,198.8,0.6484,0.609,1.09,1.088,0.1696,0.1018
18,1,3,2026,12.9,21.484,61.8,0.7619,0.193,1.079,1.56,0.1696,0.1018
19,1,3,2026,12.5,21.395,5.5,0.8161,0.017,1.098,1.575,0.1696,0.1018
20,1,3,2026,11.6,21.029,0.0,0.7981,0.0,1.096,1.579,0.1696,0.1018
21,1,3,2026,10.7,20.718,0.0,0.6189,0.0,1.072,1.21,0.1696,0.1018
22,1,3,2026,10.0,20.568,0.0,0.4068,0.0,1.072,0.939,0.2146,0.1288
23,1,3,2026,9.3,20.137,0.0,0.2545,0.0,1.223,0.325,0.2146,0.1288
