heure,jour,mois,annee,Tout,Tin,G,alpha_presence_predit,PV,Pfixe_predit,Pflex_predit,Cbuy_predit,Csell_predit
0,8,3,2026,9.7,19.767,0.0,0.0487,0.0,0.521,0.003,0.2146,0.1288
1,8,3,2026,9.1,19.656,0.0,0.0317,0.0,0.534,0.086,0.2146,0.1288
2,8,3,2026,8.6,19.833,0.0,0.043,0.0,0.534,0.003,0.2146,0.1288
3,8,3,2026,7.7,19.836,0.0,0.0668,0.0,0.587,0.003,0.2146,0.1288
4,8,3,2026,7.7,19.977,0.0,0.0346,0.0,0.608,0.087,0.2146,0.1288
5,8,3,2026,7.5,20.188,0.0,0.122,0.0,0.607,0.607,0.2146,0.1288
6,8,3,2026,7.8,20.885,0.0,0.562,0.0,0.5,1.136,0.2146,0.1288
7,8,3,2026,8.1,20.562,0.0,0.7372,0.0,0.361,1.894,0.2146,0.1288
8,8,3,2026,7.9,20.872,7.0,0.8217,0.0,0.937,1.75,0.2146,0.1288
9,8,3,2026,7.6,21.133,37.5,0.8012,0.0,0.937,1.582,0.2146,0.1288
10,8,3,2026,8.3,21.804,105.5,0.5502,0.001,1.195,1.054,0.2146,0.1288
11,8,3,2026,9.5,22.201,343.8,0.405,0.002,1.271,1.036,0.2146,0.1288
12,8,3,2026,11.3,22.097,500.5,0.1731,0.003,1.021,0.834,0.2146,0.1288
13,8,3,2026,12.9,22.046,569.2,0.1266,0.003,1.006,0.733,0.1696,0.1018
14,8,3,2026,15.1,22.094,570.0,0.1864,0.003,1.061,0.594,0.1696,0.1018
15,8,3,2026,16.5,22.418,524.2,0.3061,0.003,0.396,1.146,0.1696,0.1018
16,8,3,2026,17.7,22.312,428.0,0.4664,0.002,1.131,1.06,0.1696,0.1018
17,8,3,2026,18.0,22.055,293.0,0.6484,0.002,1.169,1.038,0.1696,0.1018
18,8,3,2026,17.8,21.484,139.5,0.7619,0.001,1.189,1.584,0.1696,0.1018
19,8,3,2026,16.9,21.395,18.2,0.8161,0.0,1.169,1.584,0.1696,0.1018
20,8,3,2026,16.1,21.029,0.0,0.7981,0.0,1.155,1.585,0.1696,0.1018
21,8,3,2026,15.0,20.718,0.0,0.6189,0.0,0.737,1.144,0.1696,0.1018
22,8,3,2026,13.0,20.568,0.0,0.4068,0.0,0.666,1.348,0.2146,0.1288
23,8,3,2026,12.5,20.137,0.0,0.2545,0.0,1.469,0.304,0.2146,0.1288
