heure,jour,mois,annee,tfrigo,Tmin,Tmax,Tout_reel,Tin_reel,G,alpha_presence_reel,PV_reel,Pfixe,Pflex_reel,Pin,Pgo,Ebat,S,Cbuy_reel,Csell_reel
0,4,3,2026,4.0,20.0,25.0,12.171,19.04,21.904,0.1095,0.136,0.1,0.713,0.0,0.0,5.286,0,0.1674,0.1032
1,4,3,2026,4.0,20.0,25.0,11.675,19.749,0.0,0.0386,0.0,0.1,0.086,0.0,0.0,5.09,0,0.1458,0.086
2,4,3,2026,4.0,20.0,25.0,10.19,20.177,0.0,0.1578,0.0,0.1,0.508,0.0,0.0,4.45,0,0.1601,0.1002
3,4,3,2026,4.0,20.0,25.0,9.164,19.861,22.42,0.0401,0.213,0.1,0.003,0.0,0.0,4.555,0,0.2206,0.1357
4,4,3,2026,4.0,20.0,25.0,7.806,19.98,0.0,0.0,0.0,0.1,0.088,0.0,0.0,4.356,0,0.1951,0.1093
5,4,3,2026,4.0,20.0,25.0,8.98,19.47,11.761,0.1916,0.0,0.1,0.39,0.0,0.0,3.841,0,0.2377,0.1429
6,4,3,2026,4.0,20.0,25.0,7.812,21.079,0.0,0.3402,0.105,0.209,0.499,0.0,0.0,3.206,0,0.2266,0.129
7,4,3,2026,4.0,20.0,25.0,8.144,20.701,0.0,0.6991,0.099,0.1,1.286,0.0,0.0,1.851,0,0.2025,0.1192
8,4,3,2026,4.0,20.0,25.0,7.451,20.462,42.024,1.0,0.206,0.813,1.981,0.831,0.0,0.0,0,0.2212,0.1329
9,4,3,2026,4.0,20.0,25.0,9.459,21.803,63.072,0.8033,0.304,0.501,1.58,1.777,0.0,0.0,0,0.2196,0.1403
10,4,3,2026,4.0,20.0,25.0,12.46,21.376,268.354,0.5788,1.738,1.582,1.006,0.85,0.0,0.0,0,0.2126,0.117
11,4,3,2026,4.0,20.0,25.0,13.815,21.613,403.344,0.3289,2.365,1.876,0.994,0.505,0.0,0.0,0,0.2199,0.1302
12,4,3,2026,4.0,20.0,25.0,15.611,21.463,550.831,0.1712,3.289,0.982,0.501,0.0,0.0,1.715,0,0.2114,0.1302
13,4,3,2026,4.0,20.0,25.0,17.65,22.055,524.313,0.1152,3.326,1.069,0.729,0.0,0.0,3.166,0,0.2138,0.1316
14,4,3,2026,4.0,20.0,25.0,17.941,22.212,551.488,0.3351,3.328,1.154,0.459,0.0,0.0,4.795,0,0.2196,0.136
15,4,3,2026,4.0,20.0,25.0,18.819,22.572,520.689,0.2253,3.075,0.1,1.148,0.0,0.0,6.53,0,0.2189,0.1264
16,4,3,2026,4.0,20.0,25.0,18.269,22.194,433.13,0.2455,2.401,1.351,0.542,0.0,0.0,7.012,0,0.2175,0.1299
17,4,3,2026,4.0,20.0,25.0,18.61,21.771,319.896,0.6809,1.923,1.39,1.038,0.0,0.0,6.481,0,0.2177,0.1283
18,4,3,2026,4.0,20.0,25.0,17.048,21.779,140.888,0.8859,0.837,1.365,1.389,0.0,0.0,4.464,0,0.179,0.1139
19,4,3,2026,4.0,20.0,25.0,15.752,21.081,13.67,0.761,0.02,1.467,1.589,0.0,0.0,1.267,0,0.1772,0.1056
20,4,3,2026,4.0,20.0,25.0,15.776,20.606,35.992,0.6522,0.309,1.349,1.41,1.247,0.0,0.0,0,0.1575,0.0946
21,4,3,2026,4.0,20.0,25.0,13.192,21.208,73.362,0.5331,0.311,0.1,1.201,0.99,0.0,0.0,0,0.1619,0.0981
22,4,3,2026,4.0,20.0,25.0,11.702,20.63,0.0,0.4415,0.0,0.1,1.013,1.113,0.0,0.0,0,0.1841,0.1039
23,4,3,2026,4.0,20.0,25.0,12.056,20.302,0.0,0.2095,0.0,2.053,0.295,2.348,0.0,0.0,1,0.1851,0.1137
