heure,jour,mois,annee,Tout,Tin,G,alpha_presence_predit,PV,Pfixe_predit,Pflex_predit,Cbuy_predit,Csell_predit
0,5,3,2026,10.9,19.767,0.0,0.0487,0.0,0.1,0.003,0.1696,0.1018
1,5,3,2026,10.7,19.656,0.0,0.0317,0.0,0.1,0.086,0.1696,0.1018
2,5,3,2026,9.9,19.833,0.0,0.043,0.0,0.1,0.003,0.1696,0.1018
3,5,3,2026,9.3,19.836,0.0,0.0668,0.0,0.1,0.003,0.1696,0.1018
4,5,3,2026,9.0,19.977,0.0,0.0346,0.0,0.1,0.087,0.2146,0.1288
5,5,3,2026,8.6,20.188,0.0,0.122,0.0,0.1,0.602,0.2146,0.1288
6,5,3,2026,8.3,20.885,0.0,0.562,0.0,0.1,1.122,0.2146,0.1288
7,5,3,2026,8.0,20.562,0.0,0.7372,0.0,0.1,1.908,0.2146,0.1288
8,5,3,2026,7.7,20.872,9.2,0.8217,0.055,0.768,1.748,0.2146,0.1288
9,5,3,2026,8.5,21.133,109.8,0.8012,0.66,0.691,1.583,0.2146,0.1288
10,5,3,2026,10.6,21.804,258.8,0.5502,1.549,0.681,1.058,0.2146,0.1288
11,5,3,2026,12.3,22.201,396.2,0.405,2.378,1.59,1.041,0.2146,0.1288
12,5,3,2026,14.4,22.097,497.2,0.1731,2.98,1.329,0.827,0.2146,0.1288
13,5,3,2026,16.4,22.046,553.0,0.1266,3.319,1.377,0.729,0.2146,0.1288
14,5,3,2026,18.0,22.094,546.5,0.1864,3.278,1.367,0.594,0.2146,0.1288
15,5,3,2026,18.9,22.418,457.8,0.3061,2.831,0.1,1.145,0.2146,0.1288
16,5,3,2026,19.0,22.312,296.8,0.4664,1.742,1.506,1.06,0.2146,0.1288
17,5,3,2026,19.1,22.055,257.8,0.6484,1.54,1.557,1.038,0.2146,0.1288
18,5,3,2026,18.4,21.484,124.5,0.7619,0.749,1.777,1.586,0.2146,0.1288
19,5,3,2026,17.1,21.395,13.2,0.8161,0.079,1.963,1.586,0.1696,0.1018
20,5,3,2026,16.0,21.029,0.0,0.7981,0.0,1.98,1.586,0.1696,0.1018
21,5,3,2026,14.9,20.718,0.0,0.6189,0.0,0.236,1.148,0.1696,0.1018
22,5,3,2026,14.0,20.568,0.0,0.4068,0.0,0.854,1.352,0.1696,0.1018
23,5,3,2026,13.3,20.137,0.0,0.2545,0.0,3.09,0.302,0.1696,0.1018
