heure,jour,mois,annee,Tout,Tin,G,alpha_presence_predit,PV,Pfixe_predit,Pflex_predit,Cbuy_predit,Csell_predit
0,2,3,2026,8.8,19.767,0.0,0.0487,0.0,0.111,0.003,0.1696,0.1018
1,2,3,2026,8.6,19.656,0.0,0.0317,0.0,0.101,0.086,0.1696,0.1018
2,2,3,2026,8.2,19.833,0.0,0.043,0.0,0.117,0.003,0.1696,0.1018
3,2,3,2026,7.8,19.836,0.0,0.0668,0.0,0.121,0.003,0.2146,0.1288
4,2,3,2026,7.7,19.977,0.0,0.0346,0.0,0.14,0.087,0.2146,0.1288
5,2,3,2026,7.2,20.188,0.0,0.122,0.0,0.14,0.604,0.2146,0.1288
6,2,3,2026,6.8,20.885,0.0,0.562,0.0,0.141,1.134,0.2146,0.1288
7,2,3,2026,7.0,20.562,0.0,0.7372,0.0,0.125,1.92,0.2146,0.1288
8,2,3,2026,6.6,20.872,5.2,0.8217,0.031,0.855,1.748,0.2146,0.1288
9,2,3,2026,7.1,21.133,95.5,0.8012,0.574,0.723,1.583,0.2146,0.1288
10,2,3,2026,9.1,21.804,220.5,0.5502,1.322,1.383,1.063,0.2146,0.1288
11,2,3,2026,10.8,22.201,375.8,0.405,2.257,1.529,1.049,0.2146,0.1288
12,2,3,2026,12.7,22.097,485.2,0.1731,2.918,1.001,0.816,0.2146,0.1288
13,2,3,2026,15.5,22.046,545.0,0.1266,3.268,1.04,0.729,0.2146,0.1288
14,2,3,2026,16.7,22.094,549.5,0.1864,3.301,1.049,0.596,0.2146,0.1288
15,2,3,2026,17.5,22.418,496.8,0.3061,2.985,0.1,1.146,0.2146,0.1288
16,2,3,2026,17.9,22.312,402.0,0.4664,2.411,1.184,1.059,0.2146,0.1288
17,2,3,2026,17.8,22.055,266.0,0.6484,1.592,1.22,1.038,0.2146,0.1288
18,2,3,2026,17.2,21.484,107.2,0.7619,0.641,1.317,1.585,0.1696,0.1018
19,2,3,2026,15.9,21.395,8.8,0.8161,0.053,1.323,1.585,0.1696,0.1018
20,2,3,2026,14.4,21.029,0.0,0.7981,0.0,1.321,1.585,0.1696,0.1018
21,2,3,2026,13.4,20.718,0.0,0.6189,0.0,0.307,1.146,0.1696,0.1018
22,2,3,2026,12.3,20.568,0.0,0.4068,0.0,0.283,1.348,0.1696,0.1018
23,2,3,2026,11.8,20.137,0.0,0.2545,0.0,1.849,0.306,0.1696,0.1018
