heure,jour,mois,annee,Tout,Tin,G,alpha_presence_predit,PV,Pfixe_predit,Pflex_predit,Cbuy_predit,Csell_predit
0,14,3,2026,6.2,19.767,0.0,0.0487,0.0,0.184,0.003,0.2146,0.1288
1,14,3,2026,5.0,19.656,0.0,0.0317,0.0,0.193,0.086,0.2146,0.1288
2,14,3,2026,3.5,19.833,0.0,0.043,0.0,0.196,0.003,0.2146,0.1288
3,14,3,2026,3.9,19.836,0.0,0.0668,0.0,0.2,0.003,0.2146,0.1288
4,14,3,2026,3.9,19.977,0.0,0.0346,0.0,0.211,0.087,0.2146,0.1288
5,14,3,2026,3.7,20.188,0.0,0.122,0.0,0.195,0.605,0.2146,0.1288
6,14,3,2026,3.6,20.885,0.0,0.562,0.0,0.174,1.139,0.2146,0.1288
7,14,3,2026,3.6,20.562,0.0,0.7372,0.0,0.155,1.93,0.2146,0.1288
8,14,3,2026,3.5,20.872,24.5,0.8217,0.0,0.831,1.756,0.2146,0.1288
9,14,3,2026,4.3,21.133,108.5,0.8012,0.001,0.723,1.582,0.2146,0.1288
10,14,3,2026,5.4,21.804,171.2,0.5502,0.001,1.295,1.063,0.2146,0.1288
11,14,3,2026,7.3,22.201,427.0,0.405,0.003,1.492,1.047,0.2146,0.1288
12,14,3,2026,8.5,22.097,494.2,0.1731,0.003,0.999,0.83,0.2146,0.1288
13,14,3,2026,9.0,22.046,446.8,0.1266,0.003,1.049,0.729,0.1696,0.1018
14,14,3,2026,9.1,22.094,340.8,0.1864,0.002,1.052,0.598,0.1696,0.1018
15,14,3,2026,9.4,22.418,380.2,0.3061,0.002,0.1,1.146,0.1696,0.1018
16,14,3,2026,10.0,22.312,284.5,0.4664,0.002,1.136,1.052,0.1696,0.1018
17,14,3,2026,10.4,22.055,234.5,0.6484,0.001,1.214,1.037,0.1696,0.1018
18,14,3,2026,9.9,21.484,137.0,0.7619,0.001,1.288,1.587,0.1696,0.1018
19,14,3,2026,9.5,21.395,32.8,0.8161,0.0,1.291,1.585,0.1696,0.1018
20,14,3,2026,8.5,21.029,0.0,0.7981,0.0,1.284,1.585,0.1696,0.1018
21,14,3,2026,7.3,20.718,0.0,0.6189,0.0,0.172,1.139,0.1696,0.1018
22,14,3,2026,6.5,20.568,0.0,0.4068,0.0,0.1,1.348,0.2146,0.1288
23,14,3,2026,4.9,20.137,0.0,0.2545,0.0,1.826,0.301,0.2146,0.1288
