heure,jour,mois,annee,Tout,Tin,G,alpha_presence_predit,PV,Pfixe_predit,Pflex_predit,Cbuy_predit,Csell_predit
0,23,3,2026,9.7,19.767,0.0,0.0487,0.0,0.11,0.003,0.1696,0.1018
1,23,3,2026,9.2,19.656,0.0,0.0317,0.0,0.101,0.086,0.1696,0.1018
2,23,3,2026,8.6,19.833,0.0,0.043,0.0,0.108,0.003,0.1696,0.1018
3,23,3,2026,7.8,19.836,0.0,0.0668,0.0,0.114,0.003,0.1696,0.1018
4,23,3,2026,7.4,19.977,0.0,0.0346,0.0,0.133,0.087,0.1696,0.1018
5,23,3,2026,7.1,20.188,0.0,0.122,0.0,0.135,0.601,0.1696,0.1018
6,23,3,2026,6.8,20.885,0.0,0.562,0.0,0.132,1.126,0.1696,0.1018
7,23,3,2026,6.5,20.562,0.5,0.7372,0.0,0.121,1.912,0.1696,0.1018
8,23,3,2026,7.0,20.872,63.0,0.8217,0.0,0.821,1.738,0.1696,0.1018
9,23,3,2026,8.1,21.133,212.5,0.8012,0.001,0.666,1.583,0.2146,0.1288
10,23,3,2026,9.6,21.804,386.2,0.5502,0.002,1.354,1.06,0.2146,0.1288
11,23,3,2026,11.6,22.201,528.5,0.405,0.003,1.541,1.045,0.2146,0.1288
12,23,3,2026,13.6,22.097,630.0,0.1731,0.004,0.999,0.828,0.2146,0.1288
13,23,3,2026,15.1,22.046,680.5,0.1266,0.004,1.049,0.729,0.2146,0.1288
14,23,3,2026,16.0,22.094,676.5,0.1864,0.004,1.053,0.594,0.2146,0.1288
15,23,3,2026,16.5,22.418,604.2,0.3061,0.003,0.115,1.145,0.2146,0.1288
16,23,3,2026,16.5,22.312,452.2,0.4664,0.003,1.155,1.058,0.2146,0.1288
17,23,3,2026,16.4,22.055,337.2,0.6484,0.002,1.194,1.039,0.2146,0.1288
18,23,3,2026,15.9,21.484,198.2,0.7619,0.001,1.282,1.586,0.2146,0.1288
19,23,3,2026,15.2,21.395,54.2,0.8161,0.0,1.277,1.586,0.2146,0.1288
20,23,3,2026,14.4,21.029,0.0,0.7981,0.0,1.268,1.586,0.2146,0.1288
21,23,3,2026,13.3,20.718,0.0,0.6189,0.0,0.428,1.139,0.2146,0.1288
22,23,3,2026,12.5,20.568,0.0,0.4068,0.0,0.389,1.348,0.2146,0.1288
23,23,3,2026,11.9,20.137,0.0,0.2545,0.0,1.812,0.304,0.2146,0.1288
