heure,jour,mois,annee,Tout,Tin,G,alpha_presence_predit,PV,Pfixe_predit,Pflex_predit,Cbuy_predit,Csell_predit
0,6,3,2026,12.5,19.767,0.0,0.0487,0.0,0.1,0.003,0.1696,0.1018
1,6,3,2026,11.8,19.656,0.0,0.0317,0.0,0.1,0.086,0.1696,0.1018
2,6,3,2026,11.4,19.833,0.0,0.043,0.0,0.1,0.003,0.1696,0.1018
3,6,3,2026,10.8,19.836,0.0,0.0668,0.0,0.1,0.003,0.1696,0.1018
4,6,3,2026,10.2,19.977,0.0,0.0346,0.0,0.1,0.087,0.2146,0.1288
5,6,3,2026,10.1,20.188,0.0,0.122,0.0,0.1,0.601,0.2146,0.1288
6,6,3,2026,10.0,20.885,0.0,0.562,0.0,0.1,1.132,0.2146,0.1288
7,6,3,2026,10.6,20.562,0.0,0.7372,0.0,0.1,1.914,0.2146,0.1288
8,6,3,2026,10.8,20.872,4.2,0.8217,0.026,0.776,1.744,0.2146,0.1288
9,6,3,2026,11.5,21.133,47.2,0.8012,0.283,0.688,1.583,0.2146,0.1288
10,6,3,2026,12.6,21.804,133.8,0.5502,0.804,0.693,1.052,0.2146,0.1288
11,6,3,2026,13.7,22.201,214.2,0.405,1.285,1.621,1.05,0.2146,0.1288
12,6,3,2026,14.9,22.097,313.5,0.1731,1.881,1.333,0.833,0.2146,0.1288
13,6,3,2026,16.0,22.046,328.2,0.1266,1.946,1.387,0.729,0.2146,0.1288
14,6,3,2026,16.8,22.094,306.0,0.1864,1.851,1.373,0.59,0.2146,0.1288
15,6,3,2026,17.5,22.418,305.8,0.3061,1.851,0.1,1.144,0.2146,0.1288
16,6,3,2026,18.0,22.312,274.5,0.4664,1.672,1.523,1.056,0.2146,0.1288
17,6,3,2026,18.1,22.055,187.0,0.6484,1.125,1.569,1.038,0.2146,0.1288
18,6,3,2026,17.8,21.484,72.2,0.7619,0.444,1.82,1.586,0.2146,0.1288
19,6,3,2026,16.9,21.395,7.5,0.8161,0.045,2.0,1.586,0.1696,0.1018
20,6,3,2026,16.2,21.029,0.0,0.7981,0.0,1.99,1.586,0.1696,0.1018
21,6,3,2026,15.6,20.718,0.0,0.6189,0.0,0.317,1.142,0.1696,0.1018
22,6,3,2026,15.0,20.568,0.0,0.4068,0.0,0.925,1.35,0.1696,0.1018
23,6,3,2026,14.2,20.137,0.0,0.2545,0.0,3.181,0.306,0.1696,0.1018
