heure,jour,mois,annee,Tout,Tin,G,alpha_presence_predit,PV,Pfixe_predit,Pflex_predit,Cbuy_predit,Csell_predit
0,9,3,2026,12.5,19.767,0.0,0.0487,0.0,0.391,0.003,0.2146,0.1288
1,9,3,2026,11.6,19.656,0.0,0.0317,0.0,0.354,0.086,0.2146,0.1288
2,9,3,2026,11.0,19.833,0.0,0.043,0.0,0.397,0.003,0.2146,0.1288
3,9,3,2026,10.5,19.836,0.0,0.0668,0.0,0.447,0.003,0.2146,0.1288
4,9,3,2026,9.8,19.977,0.0,0.0346,0.0,0.492,0.087,0.2146,0.1288
5,9,3,2026,9.6,20.188,0.0,0.122,0.0,0.501,0.598,0.2146,0.1288
6,9,3,2026,9.1,20.885,0.0,0.562,0.0,0.367,1.144,0.2146,0.1288
7,9,3,2026,9.2,20.562,0.0,0.7372,0.0,0.138,1.908,0.2146,0.1288
8,9,3,2026,8.9,20.872,16.0,0.8217,0.0,0.91,1.734,0.2146,0.1288
9,9,3,2026,9.3,21.133,131.0,0.8012,0.001,0.925,1.581,0.2146,0.1288
10,9,3,2026,11.4,21.804,283.8,0.5502,0.002,1.22,1.057,0.2146,0.1288
11,9,3,2026,13.3,22.201,423.0,0.405,0.003,1.296,1.042,0.2146,0.1288
12,9,3,2026,15.2,22.097,525.8,0.1731,0.003,1.024,0.794,0.2146,0.1288
13,9,3,2026,16.9,22.046,581.2,0.1266,0.003,1.033,0.729,0.1696,0.1018
14,9,3,2026,17.5,22.094,512.2,0.1864,0.003,1.066,0.6,0.1696,0.1018
15,9,3,2026,17.6,22.418,337.8,0.3061,0.002,0.289,1.147,0.1696,0.1018
16,9,3,2026,18.0,22.312,321.8,0.4664,0.002,1.141,1.059,0.1696,0.1018
17,9,3,2026,17.8,22.055,177.8,0.6484,0.001,1.177,1.04,0.1696,0.1018
18,9,3,2026,17.4,21.484,98.0,0.7619,0.001,1.186,1.543,0.1696,0.1018
19,9,3,2026,16.6,21.395,16.0,0.8161,0.0,1.188,1.586,0.1696,0.1018
20,9,3,2026,16.0,21.029,0.0,0.7981,0.0,1.176,1.586,0.1696,0.1018
21,9,3,2026,15.6,20.718,0.0,0.6189,0.0,0.642,1.154,0.1696,0.1018
22,9,3,2026,14.5,20.568,0.0,0.4068,0.0,0.559,1.355,0.2146,0.1288
23,9,3,2026,14.4,20.137,0.0,0.2545,0.0,1.556,0.297,0.2146,0.1288
