heure,jour,mois,annee,tfrigo,Tmin,Tmax,Tout_reel,Tin_reel,G,alpha_presence_reel,PV_reel,Pfixe,Pflex_reel,Pin,Pgo,Ebat,S,Cbuy_reel,Csell_reel
0,10,3,2026,4.0,20.0,25.0,13.771,19.04,21.904,0.1095,0.136,0.1,0.713,0.0,0.0,5.287,0,0.1674,0.1032
1,10,3,2026,4.0,20.0,25.0,13.475,19.749,0.0,0.0386,0.0,0.1,0.086,0.0,0.0,5.091,0,0.1458,0.086
2,10,3,2026,4.0,20.0,25.0,11.39,20.177,0.0,0.1578,0.0,0.1,0.508,0.0,0.0,4.451,0,0.1601,0.1002
3,10,3,2026,4.0,20.0,25.0,10.864,19.861,22.42,0.0401,0.213,0.1,0.003,0.0,0.0,4.555,0,0.2206,0.1357
4,10,3,2026,4.0,20.0,25.0,10.206,19.98,0.0,0.0,0.0,0.1,0.088,0.0,0.0,4.357,0,0.1951,0.1093
5,10,3,2026,4.0,20.0,25.0,12.28,19.47,11.761,0.1916,0.0,0.1,0.39,0.0,0.0,3.841,0,0.2377,0.1429
6,10,3,2026,4.0,20.0,25.0,11.212,21.079,0.0,0.3402,0.105,0.209,0.499,0.0,0.0,3.207,0,0.2266,0.129
7,10,3,2026,4.0,20.0,25.0,11.044,20.701,0.0,0.6991,0.099,0.1,1.286,0.0,0.0,1.851,0,0.2025,0.1192
8,10,3,2026,4.0,20.0,25.0,10.351,20.462,43.824,1.0,0.216,0.629,1.981,0.635,0.0,0.0,0,0.2212,0.1329
9,10,3,2026,4.0,20.0,25.0,11.459,21.803,20.672,0.8033,0.05,0.328,1.58,1.859,0.0,0.0,1,0.2196,0.1403
10,10,3,2026,4.0,20.0,25.0,12.66,21.376,227.954,0.5788,1.496,2.078,1.006,1.588,0.0,0.0,0,0.2126,0.117
11,10,3,2026,4.0,20.0,25.0,12.915,21.613,395.844,0.3289,2.32,2.543,0.994,1.217,0.0,0.0,0,0.2199,0.1302
12,10,3,2026,4.0,20.0,25.0,13.911,21.463,486.131,0.1712,2.9,1.024,0.501,0.0,0.0,1.306,0,0.2114,0.1302
13,10,3,2026,4.0,20.0,25.0,15.55,22.055,305.813,0.1152,2.015,1.101,0.729,0.0,0.0,1.482,0,0.2138,0.1316
14,10,3,2026,4.0,20.0,25.0,15.541,22.212,387.788,0.3351,2.345,1.205,0.459,0.0,0.0,2.129,0,0.2196,0.136
15,10,3,2026,4.0,20.0,25.0,16.419,22.572,340.289,0.2253,1.992,0.1,1.148,0.0,0.0,2.836,0,0.2189,0.1264
16,10,3,2026,4.0,20.0,25.0,16.369,22.194,347.13,0.2455,1.885,1.522,0.542,0.0,0.0,2.647,0,0.2175,0.1299
17,10,3,2026,4.0,20.0,25.0,16.41,21.771,240.896,0.6809,1.449,1.602,1.038,0.0,0.0,1.394,0,0.2177,0.1283
18,10,3,2026,4.0,20.0,25.0,14.748,21.779,104.688,0.8859,0.619,1.527,1.389,0.972,0.0,0.0,0,0.179,0.1139
19,10,3,2026,4.0,20.0,25.0,14.052,21.081,16.07,0.761,0.034,1.614,1.589,3.169,0.0,0.0,1,0.1772,0.1056
20,10,3,2026,4.0,20.0,25.0,14.576,20.606,35.992,0.6522,0.309,1.553,1.41,2.655,0.0,0.0,1,0.1575,0.0946
21,10,3,2026,4.0,20.0,25.0,12.492,21.208,73.362,0.5331,0.311,0.1,1.201,0.99,0.0,0.0,0,0.1619,0.0981
22,10,3,2026,4.0,20.0,25.0,11.602,20.63,0.0,0.4415,0.0,0.1,1.013,1.113,0.0,0.0,0,0.1841,0.1039
23,10,3,2026,4.0,20.0,25.0,12.656,20.302,0.0,0.2095,0.0,2.356,0.295,2.651,0.0,0.0,1,0.1851,0.1137
