heure,jour,mois,annee,tfrigo,Tmin,Tmax,Tout_reel,Tin_reel,G,alpha_presence_reel,PV_reel,Pfixe,Pflex_reel,Pin,Pgo,Ebat,S,Cbuy_reel,Csell_reel
0,9,3,2026,4.0,20.0,25.0,12.671,19.04,21.904,0.1095,0.136,0.384,0.713,0.0,0.0,4.987,0,0.2124,0.1302
1,9,3,2026,4.0,20.0,25.0,12.075,19.749,0.0,0.0386,0.0,0.17,0.086,0.0,0.0,4.717,0,0.1908,0.113
2,9,3,2026,4.0,20.0,25.0,10.59,20.177,0.0,0.1578,0.0,0.252,0.508,0.0,0.0,3.917,0,0.2051,0.1272
3,9,3,2026,4.0,20.0,25.0,9.864,19.861,22.42,0.0401,0.213,0.342,0.003,0.0,0.0,3.779,0,0.2206,0.1357
4,9,3,2026,4.0,20.0,25.0,8.406,19.98,0.0,0.0,0.0,0.481,0.088,0.0,0.0,3.179,0,0.1951,0.1093
5,9,3,2026,4.0,20.0,25.0,10.28,19.47,11.761,0.1916,0.0,0.409,0.39,0.0,0.0,2.339,0,0.2377,0.1429
6,9,3,2026,4.0,20.0,25.0,9.112,21.079,0.0,0.3402,0.105,0.476,0.499,0.0,0.0,1.423,0,0.2266,0.129
7,9,3,2026,4.0,20.0,25.0,9.344,20.701,0.0,0.6991,0.099,0.1,1.286,0.0,0.0,0.068,0,0.2025,0.1192
8,9,3,2026,4.0,20.0,25.0,8.351,20.462,49.824,1.0,0.252,0.948,1.981,2.613,0.0,0.0,1,0.2212,0.1329
9,9,3,2026,4.0,20.0,25.0,10.159,21.803,85.872,0.8033,0.441,0.843,1.58,1.982,0.0,0.0,1,0.2196,0.1403
10,9,3,2026,4.0,20.0,25.0,12.06,21.376,291.954,0.5788,1.88,1.265,1.006,0.391,0.0,0.0,0,0.2126,0.117
11,9,3,2026,4.0,20.0,25.0,13.215,21.613,425.344,0.3289,2.497,1.522,0.994,0.019,0.0,0.0,0,0.2199,0.1302
12,9,3,2026,4.0,20.0,25.0,14.811,21.463,570.131,0.1712,3.404,1.004,0.501,0.0,0.0,1.804,0,0.2114,0.1302
13,9,3,2026,4.0,20.0,25.0,16.65,22.055,542.013,0.1152,3.432,1.045,0.729,0.0,0.0,3.379,0,0.1688,0.1046
14,9,3,2026,4.0,20.0,25.0,16.941,22.212,493.188,0.3351,2.978,1.155,0.459,0.0,0.0,4.675,0,0.1746,0.109
15,9,3,2026,4.0,20.0,25.0,17.619,22.572,334.289,0.2253,1.956,0.119,1.148,0.0,0.0,5.329,0,0.1739,0.0994
16,9,3,2026,4.0,20.0,25.0,17.569,22.194,328.13,0.2455,1.771,1.209,0.542,0.0,0.0,5.348,0,0.1725,0.1029
17,9,3,2026,4.0,20.0,25.0,18.21,21.771,208.196,0.6809,1.253,1.264,1.038,0.0,0.0,4.244,0,0.1727,0.1013
18,9,3,2026,4.0,20.0,25.0,17.148,21.779,108.888,0.8859,0.645,1.159,1.389,0.0,0.0,2.241,0,0.179,0.1139
19,9,3,2026,4.0,20.0,25.0,16.352,21.081,16.87,0.761,0.039,1.255,1.589,0.676,0.0,0.0,0,0.1772,0.1056
20,9,3,2026,4.0,20.0,25.0,17.076,20.606,35.992,0.6522,0.309,1.18,1.41,2.282,0.0,0.0,1,0.1575,0.0946
21,9,3,2026,4.0,20.0,25.0,15.092,21.208,73.362,0.5331,0.311,0.539,1.201,1.429,0.0,0.0,0,0.1619,0.0981
22,9,3,2026,4.0,20.0,25.0,13.402,20.63,0.0,0.4415,0.0,0.39,1.013,1.404,0.0,0.0,0,0.2291,0.1309
23,9,3,2026,4.0,20.0,25.0,14.656,20.302,0.0,0.2095,0.0,1.663,0.295,1.958,0.0,0.0,1,0.2301,0.1407
