heure,jour,mois,annee,Tout,Tin,G,alpha_presence_predit,PV,Pfixe_predit,Pflex_predit,Cbuy_predit,Csell_predit
0,10,3,2026,13.6,19.767,0.0,0.0487,0.0,0.1,0.003,0.1696,0.1018
1,10,3,2026,13.0,19.656,0.0,0.0317,0.0,0.1,0.086,0.1696,0.1018
2,10,3,2026,11.8,19.833,0.0,0.043,0.0,0.1,0.003,0.1696,0.1018
3,10,3,2026,11.5,19.836,0.0,0.0668,0.0,0.1,0.003,0.2146,0.1288
4,10,3,2026,11.6,19.977,0.0,0.0346,0.0,0.1,0.087,0.2146,0.1288
5,10,3,2026,11.6,20.188,0.0,0.122,0.0,0.1,0.597,0.2146,0.1288
6,10,3,2026,11.2,20.885,0.0,0.562,0.0,0.1,1.138,0.2146,0.1288
7,10,3,2026,10.9,20.562,0.0,0.7372,0.0,0.1,1.902,0.2146,0.1288
8,10,3,2026,10.9,20.872,10.0,0.8217,0.06,0.591,1.752,0.2146,0.1288
9,10,3,2026,10.6,21.133,65.8,0.8012,0.401,0.41,1.582,0.2146,0.1288
10,10,3,2026,12.0,21.804,219.8,0.5502,1.319,2.033,1.037,0.2146,0.1288
11,10,3,2026,13.0,22.201,393.5,0.405,2.358,2.317,1.029,0.2146,0.1288
12,10,3,2026,14.3,22.097,441.8,0.1731,2.56,1.044,0.801,0.2146,0.1288
13,10,3,2026,15.8,22.046,345.0,0.1266,2.069,1.089,0.729,0.2146,0.1288
14,10,3,2026,16.1,22.094,406.8,0.1864,2.446,1.116,0.599,0.2146,0.1288
15,10,3,2026,16.4,22.418,343.8,0.3061,2.061,0.1,1.147,0.2146,0.1288
16,10,3,2026,16.8,22.312,340.8,0.4664,2.042,1.454,1.062,0.2146,0.1288
17,10,3,2026,16.0,22.055,210.5,0.6484,1.262,1.515,1.056,0.2146,0.1288
18,10,3,2026,15.0,21.484,93.8,0.7619,0.563,1.554,1.587,0.1696,0.1018
19,10,3,2026,14.3,21.395,15.2,0.8161,0.091,1.547,1.587,0.1696,0.1018
20,10,3,2026,13.5,21.029,0.0,0.7981,0.0,1.549,1.583,0.1696,0.1018
21,10,3,2026,13.0,20.718,0.0,0.6189,0.0,0.136,1.123,0.1696,0.1018
22,10,3,2026,12.7,20.568,0.0,0.4068,0.0,0.178,1.348,0.1696,0.1018
23,10,3,2026,12.4,20.137,0.0,0.2545,0.0,2.249,0.302,0.1696,0.1018
