heure,jour,mois,annee,Tout,Tin,G,alpha_presence_predit,PV,Pfixe_predit,Pflex_predit,Cbuy_predit,Csell_predit
0,13,3,2026,10.4,19.767,0.0,0.0487,0.0,0.137,0.003,0.2146,0.1288
1,13,3,2026,10.0,19.656,0.0,0.0317,0.0,0.127,0.086,0.2146,0.1288
2,13,3,2026,9.8,19.833,0.0,0.043,0.0,0.128,0.003,0.2146,0.1288
3,13,3,2026,10.0,19.836,0.0,0.0668,0.0,0.136,0.003,0.2146,0.1288
4,13,3,2026,10.4,19.977,0.0,0.0346,0.0,0.21,0.087,0.2146,0.1288
5,13,3,2026,10.7,20.188,0.0,0.122,0.0,0.204,0.601,0.2146,0.1288
6,13,3,2026,10.8,20.885,0.0,0.562,0.0,0.16,1.137,0.2146,0.1288
7,13,3,2026,11.0,20.562,0.0,0.7372,0.0,0.1,1.912,0.2146,0.1288
8,13,3,2026,11.3,20.872,2.2,0.8217,0.0,0.847,1.744,0.2146,0.1288
9,13,3,2026,11.5,21.133,16.0,0.8012,0.0,0.761,1.583,0.2146,0.1288
10,13,3,2026,11.6,21.804,41.8,0.5502,0.0,1.25,1.059,0.2146,0.1288
11,13,3,2026,12.5,22.201,79.2,0.405,0.0,1.394,1.046,0.2146,0.1288
12,13,3,2026,11.0,22.097,86.5,0.1731,0.0,0.997,0.827,0.2146,0.1288
13,13,3,2026,9.4,22.046,72.0,0.1266,0.0,1.041,0.729,0.1696,0.1018
14,13,3,2026,8.6,22.094,91.5,0.1864,0.001,1.053,0.596,0.1696,0.1018
15,13,3,2026,8.5,22.418,113.0,0.3061,0.001,0.1,1.145,0.1696,0.1018
16,13,3,2026,8.2,22.312,72.5,0.4664,0.0,1.14,1.052,0.1696,0.1018
17,13,3,2026,8.2,22.055,44.5,0.6484,0.0,1.194,1.026,0.1696,0.1018
18,13,3,2026,8.1,21.484,22.5,0.7619,0.0,1.253,1.588,0.1696,0.1018
19,13,3,2026,7.4,21.395,4.2,0.8161,0.0,1.254,1.588,0.1696,0.1018
20,13,3,2026,7.2,21.029,0.0,0.7981,0.0,1.246,1.588,0.1696,0.1018
21,13,3,2026,7.2,20.718,0.0,0.6189,0.0,0.222,1.132,0.1696,0.1018
22,13,3,2026,7.0,20.568,0.0,0.4068,0.0,0.104,1.348,0.2146,0.1288
23,13,3,2026,6.9,20.137,0.0,0.2545,0.0,1.772,0.305,0.2146,0.1288
