heure,jour,mois,annee,tfrigo,Tmin,Tmax,Tout_reel,Tin_reel,G,alpha_presence_reel,PV_reel,Pfixe,Pflex_reel,Pin,Pgo,Ebat,S,Cbuy_reel,Csell_reel
0,19,3,2026,4.0,20.0,25.0,10.771,19.04,21.904,0.1095,0.136,1.316,0.713,0.0,0.0,4.006,0,0.2124,0.1302
1,19,3,2026,4.0,20.0,25.0,10.675,19.749,0.0,0.0386,0.0,1.148,0.086,0.0,0.0,2.707,0,0.1908,0.113
2,19,3,2026,4.0,20.0,25.0,9.09,20.177,0.0,0.1578,0.0,1.211,0.508,0.0,0.0,0.897,0,0.2051,0.1272
3,19,3,2026,4.0,20.0,25.0,8.364,19.861,22.42,0.0401,0.213,1.266,0.003,0.203,0.0,0.0,0,0.2206,0.1357
4,19,3,2026,4.0,20.0,25.0,6.806,19.98,0.0,0.0,0.0,1.383,0.088,1.471,0.0,0.0,0,0.1951,0.1093
5,19,3,2026,4.0,20.0,25.0,8.28,19.47,11.761,0.1916,0.0,1.14,0.39,1.53,0.0,0.0,0,0.2377,0.1429
6,19,3,2026,4.0,20.0,25.0,7.112,21.079,0.0,0.3402,0.105,1.356,0.499,1.75,0.0,0.0,0,0.2266,0.129
7,19,3,2026,4.0,20.0,25.0,6.944,20.701,0.0,0.6991,0.099,0.981,1.286,2.169,0.0,0.0,1,0.2025,0.1192
8,19,3,2026,4.0,20.0,25.0,6.551,20.462,80.624,1.0,0.437,1.285,1.981,2.829,0.0,0.0,1,0.2212,0.1329
9,19,3,2026,4.0,20.0,25.0,8.859,21.803,150.372,0.8033,0.828,1.139,1.58,1.891,0.0,0.0,1,0.2196,0.1403
10,19,3,2026,4.0,20.0,25.0,10.86,21.376,367.954,0.5788,2.336,1.199,1.006,0.0,0.0,0.124,0,0.2126,0.117
11,19,3,2026,4.0,20.0,25.0,11.915,21.613,505.144,0.3289,2.976,1.326,0.994,0.0,0.0,0.747,0,0.2199,0.1302
12,19,3,2026,4.0,20.0,25.0,13.311,21.463,650.831,0.1712,3.889,1.029,0.501,0.0,0.0,2.987,0,0.2114,0.1302
13,19,3,2026,4.0,20.0,25.0,15.35,22.055,621.613,0.1152,3.91,1.004,0.729,0.0,0.0,5.055,0,0.2138,0.1316
14,19,3,2026,4.0,20.0,25.0,16.041,22.212,637.988,0.3351,3.847,1.051,0.459,0.0,0.0,7.275,0,0.1746,0.109
15,19,3,2026,4.0,20.0,25.0,17.619,22.572,600.289,0.2253,3.552,0.762,1.148,0.0,0.0,8.835,0,0.1739,0.0994
16,19,3,2026,4.0,20.0,25.0,17.869,22.194,510.53,0.2455,2.866,0.987,0.542,0.0,0.0,10.104,0,0.1725,0.1029
17,19,3,2026,4.0,20.0,25.0,18.51,21.771,394.396,0.6809,2.37,1.006,1.038,0.0,0.0,10.415,0,0.1727,0.1013
18,19,3,2026,4.0,20.0,25.0,17.248,21.779,208.388,0.8859,1.242,0.908,1.389,0.0,0.0,9.304,0,0.179,0.1139
19,19,3,2026,4.0,20.0,25.0,16.352,21.081,45.07,0.761,0.208,1.029,1.589,0.0,0.0,6.767,0,0.1772,0.1056
20,19,3,2026,4.0,20.0,25.0,16.676,20.606,35.992,0.6522,0.309,0.996,1.41,0.0,0.0,4.559,0,0.1575,0.0946
21,19,3,2026,4.0,20.0,25.0,13.292,21.208,73.362,0.5331,0.311,0.943,1.201,0.0,0.0,2.629,0,0.1619,0.0981
22,19,3,2026,4.0,20.0,25.0,11.602,20.63,0.0,0.4415,0.0,0.91,1.013,0.0,0.0,0.604,0,0.1841,0.1039
23,19,3,2026,4.0,20.0,25.0,12.056,20.302,0.0,0.2095,0.0,1.213,0.295,0.934,0.0,0.0,0,0.2301,0.1407
