heure,jour,mois,annee,Tout,Tin,G,alpha_presence_predit,PV,Pfixe_predit,Pflex_predit,Cbuy_predit,Csell_predit
0,12,3,2026,8.2,19.767,0.0,0.0487,0.0,0.1,0.003,0.1696,0.1018
1,12,3,2026,7.5,19.656,0.0,0.0317,0.0,0.1,0.086,0.1696,0.1018
2,12,3,2026,7.1,19.833,0.0,0.043,0.0,0.1,0.003,0.1696,0.1018
3,12,3,2026,6.8,19.836,0.0,0.0668,0.0,0.1,0.003,0.2146,0.1288
4,12,3,2026,6.3,19.977,0.0,0.0346,0.0,0.1,0.087,0.2146,0.1288
5,12,3,2026,6.0,20.188,0.0,0.122,0.0,0.1,0.6,0.2146,0.1288
6,12,3,2026,5.6,20.885,0.0,0.562,0.0,0.1,1.124,0.2146,0.1288
7,12,3,2026,5.5,20.562,0.0,0.7372,0.0,0.1,1.888,0.2146,0.1288
8,12,3,2026,5.5,20.872,23.2,0.8217,0.139,0.56,1.748,0.2146,0.1288
9,12,3,2026,6.3,21.133,123.2,0.8012,0.737,0.343,1.583,0.2146,0.1288
10,12,3,2026,7.9,21.804,287.8,0.5502,1.708,2.292,1.059,0.2146,0.1288
11,12,3,2026,9.8,22.201,441.2,0.405,2.561,2.634,1.036,0.2146,0.1288
12,12,3,2026,11.7,22.097,547.0,0.1731,3.281,1.06,0.824,0.2146,0.1288
13,12,3,2026,12.8,22.046,430.0,0.1266,2.561,1.105,0.729,0.2146,0.1288
14,12,3,2026,13.1,22.094,380.5,0.1864,2.282,1.124,0.596,0.2146,0.1288
15,12,3,2026,13.6,22.418,388.0,0.3061,2.327,0.133,1.145,0.2146,0.1288
16,12,3,2026,13.0,22.312,294.0,0.4664,1.763,1.481,1.04,0.2146,0.1288
17,12,3,2026,13.1,22.055,180.5,0.6484,1.083,1.588,1.026,0.2146,0.1288
18,12,3,2026,12.9,21.484,95.2,0.7619,0.571,1.624,1.586,0.1696,0.1018
19,12,3,2026,12.1,21.395,19.5,0.8161,0.117,1.635,1.586,0.1696,0.1018
20,12,3,2026,11.4,21.029,0.0,0.7981,0.0,1.666,1.586,0.1696,0.1018
21,12,3,2026,11.0,20.718,0.0,0.6189,0.0,0.226,1.132,0.1696,0.1018
22,12,3,2026,10.8,20.568,0.0,0.4068,0.0,0.366,1.348,0.1696,0.1018
23,12,3,2026,10.5,20.137,0.0,0.2545,0.0,2.421,0.304,0.1696,0.1018
