heure,jour,mois,annee,tfrigo,Tmin,Tmax,Tout_reel,Tin_reel,G,alpha_presence_reel,PV_reel,Pfixe,Pflex_reel,Pin,Pgo,Ebat,S,Cbuy_reel,Csell_reel
0,22,3,2026,4.0,20.0,25.0,9.371,19.04,21.904,0.1095,0.136,1.356,0.713,0.0,0.0,3.964,0,0.2124,0.1302
1,22,3,2026,4.0,20.0,25.0,8.975,19.749,0.0,0.0386,0.0,1.202,0.086,0.0,0.0,2.608,0,0.1908,0.113
2,22,3,2026,4.0,20.0,25.0,7.59,20.177,0.0,0.1578,0.0,1.255,0.508,0.0,0.0,0.752,0,0.2051,0.1272
3,22,3,2026,4.0,20.0,25.0,6.664,19.861,22.42,0.0401,0.213,1.316,0.003,0.391,0.0,0.0,0,0.2206,0.1357
4,22,3,2026,4.0,20.0,25.0,5.406,19.98,0.0,0.0,0.0,1.425,0.088,1.513,0.0,0.0,0,0.1951,0.1093
5,22,3,2026,4.0,20.0,25.0,6.98,19.47,11.761,0.1916,0.0,1.179,0.39,1.569,0.0,0.0,0,0.2377,0.1429
6,22,3,2026,4.0,20.0,25.0,6.112,21.079,0.0,0.3402,0.105,1.386,0.499,1.78,0.0,0.0,0,0.2266,0.129
7,22,3,2026,4.0,20.0,25.0,5.744,20.701,0.0,0.6991,0.099,1.017,1.286,2.205,0.0,0.0,1,0.2025,0.1192
8,22,3,2026,4.0,20.0,25.0,5.151,20.462,92.324,1.0,0.507,1.327,1.981,2.801,0.0,0.0,1,0.2212,0.1329
9,22,3,2026,4.0,20.0,25.0,7.459,21.803,132.672,0.8033,0.722,1.18,1.58,2.039,0.0,0.0,1,0.2196,0.1403
10,22,3,2026,4.0,20.0,25.0,9.86,21.376,336.354,0.5788,2.146,1.229,1.006,0.089,0.0,0.0,0,0.2126,0.117
11,22,3,2026,4.0,20.0,25.0,11.215,21.613,528.344,0.3289,3.115,1.347,0.994,0.0,0.0,0.735,0,0.2199,0.1302
12,22,3,2026,4.0,20.0,25.0,12.811,21.463,671.831,0.1712,4.015,1.044,0.501,0.0,0.0,3.081,0,0.2114,0.1302
13,22,3,2026,4.0,20.0,25.0,14.05,22.055,545.613,0.1152,3.454,1.043,0.729,0.0,0.0,4.678,0,0.2138,0.1316
14,22,3,2026,4.0,20.0,25.0,14.741,22.212,530.988,0.3351,3.205,1.09,0.459,0.0,0.0,6.251,0,0.1746,0.109
15,22,3,2026,4.0,20.0,25.0,15.319,22.572,466.289,0.2253,2.748,0.831,1.148,0.0,0.0,6.982,0,0.1739,0.0994
16,22,3,2026,4.0,20.0,25.0,15.069,22.194,441.13,0.2455,2.449,1.063,0.542,0.0,0.0,7.784,0,0.1725,0.1029
17,22,3,2026,4.0,20.0,25.0,16.01,21.771,372.396,0.6809,2.238,1.079,1.038,0.0,0.0,7.899,0,0.1727,0.1013
18,22,3,2026,4.0,20.0,25.0,15.048,21.779,190.088,0.8859,1.132,0.974,1.389,0.0,0.0,6.604,0,0.179,0.1139
19,22,3,2026,4.0,20.0,25.0,13.652,21.081,46.87,0.761,0.219,1.11,1.589,0.0,0.0,3.992,0,0.1772,0.1056
20,22,3,2026,4.0,20.0,25.0,14.076,20.606,35.992,0.6522,0.309,1.074,1.41,0.0,0.0,1.702,0,0.1575,0.0946
21,22,3,2026,4.0,20.0,25.0,11.392,21.208,73.362,0.5331,0.311,1.0,1.201,0.273,0.0,0.0,0,0.1619,0.0981
22,22,3,2026,4.0,20.0,25.0,10.002,20.63,0.0,0.4415,0.0,0.958,1.013,1.972,0.0,0.0,1,0.1841,0.1039
23,22,3,2026,4.0,20.0,25.0,10.856,20.302,0.0,0.2095,0.0,1.249,0.295,1.544,0.0,0.0,0,0.2301,0.1407
